編號,案類,發生(現)日期,發生時段,發生(現)地點,location
1,汽車竊盜,1040104,22~24,台北市松山區塔悠路91~120號,"25.0573288,121.52789459999997"
2,汽車竊盜,1040119,01~03,台北市中山區新生北路二段91~120號,"25.0543143,121.56975390000002"
3,汽車竊盜,1040120,01~03,台北市文山區老泉里老泉街1~30號,"24.9760327,121.55623590000005"
4,汽車竊盜,1040120,07~09,台北市文山區木柵里木柵路三段48巷3弄1~30號,"24.988599,121.56452999999999"
5,汽車竊盜,1040121,04~06,台北市中山區建國北路二段91~120號,"25.0154026,121.49476570000002"
6,汽車竊盜,1040121,22~24,台北市萬華區華中河濱公園,"25.0587151,121.53738969999995"
7,汽車竊盜,1040127,22~24,台北市松山區八德路三3段1~30號,"25.047847,121.55392800000004"
8,汽車竊盜,1040129,07~09,台北市北投區一德里中央北路四段181~210號,"25.1324144,121.47448180000004"
9,汽車竊盜,1040201,16~18,台北市松山區濱江街七號水門,"25.0743434,121.54574209999998"
10,汽車竊盜,1040202,07~09,台北市內湖區樂康里康樂街261巷,"25.0706174,121.61912000000007"
11,汽車竊盜,1040210,04~06,台北市大同區鄰江里酒泉街241~270號,"25.0721832,121.50965680000002"
12,汽車竊盜,1040211,13~15,台北市士林區福佳里美崙街31~60號,"25.0971891,121.5223995"
13,汽車竊盜,1040211,22~24,台北市南港區新富里研究院路一段101巷誠正國中旁151~180號,"25.0507681,121.61565330000008"
14,汽車竊盜,1040212,04~06,台北市松山區健康路69巷1~30號,"25.0527409,121.55269470000007"
15,汽車竊盜,1040213,13~15,台北市大安區仁愛里敦化南路一段270巷1~30號,"25.0388947,121.54670280000005"
16,汽車竊盜,1040218,04~06,台北市松山區光復北路181~210號,"25.0587242,121.5553698"
17,汽車竊盜,1040219,16~18,台北市士林區後港里通河東街二段121~150號,"25.0959939,121.51178140000002"
18,汽車竊盜,1040223,10~12,台北市士林區後港里承德路五段61~90號,"25.0930905,121.51497130000007"
19,汽車竊盜,1040302,22~24,台北市萬華區萬青街151~180號,"25.0231027,121.50168940000003"
20,汽車竊盜,1040317,04~06,台北市文山區興得里興隆路三段辛亥路口,"24.999768,121.55447959999992"
21,汽車竊盜,1040317,07~09,台北市松山區松河街241~270號,"25.0518421,121.57862139999997"
22,汽車竊盜,1040318,01~03,台北市內湖區五分里安康路93巷,"25.0661826,121.61368590000006"
23,汽車竊盜,1040320,16~18,台北市內湖區石潭里潭美街,"25.0595631,121.59105139999997"
24,汽車竊盜,1040323,01~03,台北市士林區福志里18鄰雨農路21巷1~30號,"25.0981015,121.53205479999997"
25,汽車竊盜,1040324,16~18,台北市松山區民權東路三段106巷15弄1~30號,"25.0600211,121.5450892"
26,汽車竊盜,1040325,10~12,台北市士林區富光里延平北路五段1巷1~30號,"25.0790546,121.5111154"
27,汽車竊盜,1040325,16~18,台北市中正區三愛里臨沂街61巷14弄,"25.0363156,121.52948089999995"
28,汽車竊盜,1040330,10~12,台北市南港區中南里忠孝東路七段541~570號,"25.0530103,121.61300289999997"
29,汽車竊盜,1040331,01~03,台北市南港區重陽里重陽路187巷,"25.0571931,121.59872810000002"
30,汽車竊盜,1040331,01~03,台北市南港區玉成里松河街331~360號,"25.0538812,121.58670489999997"
31,汽車竊盜,1040331,01~03,台北市南港區玉成里松河街331~360號,"25.0538812,121.58670489999997"
32,汽車竊盜,1040331,04~06,台北市南港區玉成里松河街331~360號,"25.0538812,121.58670489999997"
33,汽車竊盜,1040403,07~09,台北市南港區新光里忠孝東路七段124巷,"25.0497078,121.59771130000001"
34,汽車竊盜,1040403,22~24,台北市南港區重陽里重陽路125巷與松河街口,"25.0577551,121.5975985"
35,汽車竊盜,1040408,07~09,台北市大同區環河北路二段361~390號,"25.0701271,121.50942269999996"
36,汽車竊盜,1040409,07~09,台北市內湖區內湖里成功路四段181~210號,"25.0834576,121.59398340000007"
37,汽車竊盜,1040410,07~09,台北市松山區敦化北路155巷100弄,"25.0547167,121.55217919999996"
38,汽車竊盜,1040411,22~24,台北市信義區雅祥里基隆路一段37巷口,"25.0467122,121.56886239999994"
39,汽車竊盜,1040413,13~15,台北市信義區雅祥里市民大道六段松隆路123巷口,"25.0492112,121.57164620000003"
40,汽車竊盜,1040413,22~24,台北市士林區德行里中山北路五段811巷1~30號,"25.1016672,121.52566639999998"
41,汽車竊盜,1040415,04~06,台北市南港區萬福里忠孝東路六段70巷21弄1~30號,"25.0456271,121.58319389999997"
42,汽車竊盜,1040420,07~09,台北市大同區朝陽里15鄰延平北路二段61~90號,"25.0555232,121.5118043"
43,汽車竊盜,1040425,07~09,台北市南港區重陽里重陽路203巷口,"25.0583225,121.600233"
44,汽車竊盜,1040428,13~15,台北市北投區一德里中央北路四段121~150號,"25.1332689,121.47559810000007"
45,汽車竊盜,1040428,22~24,台北市北投區桃源里中央北路三段252巷內底,"25.1361553,121.47971510000002"
46,汽車竊盜,1040430,13~15,台北市南港區玉成里松河街271~300號,"25.052361,121.58100190000005"
47,汽車竊盜,1040509,16~18,台北市士林區社子里通河西街二段61~90號,"25.0924196,121.50897329999998"
48,汽車竊盜,1040512,07~09,台北市松山區民生東路五段36巷4弄1~30號,"25.0578006,121.557187"
49,汽車竊盜,1040513,16~18,台北市信義區雅祥里基隆路一段83巷,"25.0466689,121.57038039999998"
50,汽車竊盜,1040517,10~12,台北市北投區中和里復興四路1~30號,"25.144776,121.50203999999997"
51,汽車竊盜,1040518,13~15,台北市大同區建明里承德路一段1~30號,"25.0506825,121.51676090000001"
52,汽車竊盜,1040519,13~15,台北市信義區長春里松山路249巷1~30號,"25.047171,121.57743499999992"
53,汽車竊盜,1040521,19~21,台北市內湖區石潭里潭美街,"25.0595631,121.59105139999997"
