ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA
1,1019.8 ,1023.4 ,1021.6 ,12/1/16 20:42,1017.1 ,12/1/16 02:21,20.1 ,22.3 ,12/1/16 00:01,18.7 ,12/1/16 16:37,16.7 ,81 ,75 ,12/1/16 10:14,3.0 ,50 ,10.4 ,50 ,12/1/16 14:06,0.6 ,6.9 ,0.3 ,12/1/16 05:43,0.4 ,12/1/16 05:43,0.0 ,0.0 ,2.12 ,14.0 ,-1.7 
2,1020.3 ,1023.9 ,1022.1 ,12/2/16 08:43,1018.7 ,12/2/16 14:52,19.6 ,21.3 ,12/2/16 12:49,18.8 ,12/2/16 05:01,15.8 ,79 ,72 ,12/2/16 12:25,3.9 ,50 ,12.9 ,60 ,12/2/16 15:10,0.0 ,0.0 ,0.0 ,,0.0 ,,0.1 ,0.9 ,5.04 ,10.2 ,1.1 
3,1016.9 ,1020.5 ,1019.4 ,12/3/16 09:09,1013.9 ,12/3/16 23:38,21.6 ,24.0 ,12/3/16 13:43,19.0 ,12/3/16 00:02,18.6 ,83 ,79 ,12/3/16 12:40,4.1 ,50 ,13.4 ,60 ,12/3/16 13:23,T ,1.0 ,0.0 ,,T ,12/3/16 19:00,0.6 ,5.7 ,8.46 ,24.0 ,-5.0 
4,1013.7 ,1017.3 ,1015.3 ,12/4/16 08:22,1012.1 ,12/4/16 14:01,23.2 ,27.2 ,12/4/16 10:43,21.2 ,12/4/16 05:29,19.6 ,80 ,68 ,12/4/16 10:36,1.8 ,50 ,8.5 ,40 ,12/4/16 23:17,0.0 ,0.0 ,0.0 ,,0.0 ,,4.5 ,42.4 ,11.82 ,13.2 ,X 
5,1014.9 ,1018.5 ,1019.2 ,12/5/16 23:46,1011.9 ,12/5/16 04:12,22.1 ,23.7 ,12/5/16 09:14,21.2 ,12/5/16 23:34,17.8 ,77 ,70 ,12/5/16 18:01,3.5 ,50 ,11.6 ,50 ,12/5/16 13:11,0.0 ,0.0 ,0.0 ,,0.0 ,,0.4 ,3.8 ,5.66 ,13.8 ,3.0 
6,1019.3 ,1022.9 ,1022.1 ,12/6/16 09:27,1017.2 ,12/6/16 23:47,19.9 ,21.2 ,12/6/16 00:01,19.4 ,12/6/16 13:16,13.1 ,65 ,57 ,12/6/16 06:25,3.2 ,50 ,12.7 ,40 ,12/6/16 12:41,0.0 ,0.0 ,0.0 ,,0.0 ,,0.0 ,0.0 ,1.75 ,7.2 ,1.9 
7,1015.6 ,1019.2 ,1017.5 ,12/7/16 00:20,1013.5 ,12/7/16 14:31,20.0 ,21.0 ,12/7/16 13:42,19.1 ,12/7/16 07:36,14.1 ,69 ,66 ,12/7/16 00:02,4.0 ,60 ,13.0 ,60 ,12/7/16 14:43,0.0 ,0.0 ,0.0 ,,0.0 ,,0.0 ,0.0 ,6.26 ,11.0 ,2.3 
8,1012.2 ,1015.8 ,1014.6 ,12/8/16 00:01,1009.7 ,12/8/16 13:33,20.4 ,22.1 ,12/8/16 13:20,19.0 ,12/8/16 05:34,16.1 ,76 ,67 ,12/8/16 00:43,3.2 ,50 ,12.0 ,60 ,12/8/16 13:06,0.0 ,0.0 ,0.0 ,,0.0 ,,0.0 ,0.0 ,5.95 ,24.0 ,1.3 
9,1012.5 ,1016.1 ,1013.8 ,12/9/16 21:11,1011.0 ,12/9/16 13:52,21.2 ,22.2 ,12/9/16 10:10,20.6 ,12/9/16 05:31,16.1 ,73 ,64 ,12/9/16 14:18,3.6 ,50 ,14.2 ,50 ,12/9/16 14:29,0.0 ,0.0 ,0.0 ,,0.0 ,,0.0 ,0.0 ,4.81 ,20.6 ,-2.6 
10,1013.6 ,1017.2 ,1015.5 ,12/10/16 09:10,1011.9 ,12/10/16 15:11,20.9 ,23.4 ,12/10/16 13:35,18.8 ,12/10/16 23:59,16.4 ,76 ,69 ,12/10/16 00:35,4.2 ,50 ,13.3 ,50 ,12/10/16 16:10,6.0 ,9.6 ,0.5 ,12/10/16 19:10,2.5 ,12/10/16 19:02,0.6 ,5.7 ,5.23 ,9.0 ,X 
