ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA
1,1006.9 ,1010.4 ,1009.2 ,9/1/15 21:34,1005.1 ,9/1/15 14:28,26.8 ,32.2 ,9/1/15 11:55,24.6 ,9/1/15 03:47,23.6 ,84 ,65 ,9/1/15 11:54,0.9 ,90 ,6.9 ,210 ,9/1/15 15:52,24.2 ,8.6 ,8.5 ,9/1/15 15:47,10.1 ,9/1/15 15:47,0.5 ,4.0 ,10.68 ,13.8 ,-2.0 
2,1009.2 ,1012.7 ,1010.9 ,9/2/15 23:25,1007.9 ,9/2/15 02:59,27.5 ,34.3 ,9/2/15 12:34,24.6 ,9/2/15 05:28,23.4 ,79 ,63 ,9/2/15 12:09,1.3 ,160 ,8.6 ,320 ,9/2/15 13:38,0.0 ,0.0 ,0.0 ,,0.0 ,,3.8 ,30.3 ,17.05 ,13.8 ,2.9 
3,1010.3 ,1013.7 ,1011.6 ,9/3/15 23:19,1008.7 ,9/3/15 16:14,29.0 ,33.2 ,9/3/15 10:24,25.2 ,9/3/15 04:46,24.0 ,75 ,67 ,9/3/15 10:59,1.0 ,160 ,5.1 ,40 ,9/3/15 12:05,T ,0.4 ,T ,9/3/15 17:01,T ,9/3/15 17:01,2.0 ,16.0 ,16.52 ,14.0 ,-3.2 
4,1009.9 ,1013.3 ,1011.6 ,9/4/15 00:07,1007.8 ,9/4/15 15:28,29.5 ,33.3 ,9/4/15 13:29,26.5 ,9/4/15 04:54,23.8 ,72 ,61 ,9/4/15 14:33,0.9 ,160 ,5.0 ,330 ,9/4/15 12:52,T ,0.3 ,T ,9/4/15 11:00,T ,9/4/15 11:00,1.3 ,10.4 ,13.60 ,13.1 ,-3.3 
5,1006.3 ,1009.8 ,1009.3 ,9/5/15 00:01,1003.7 ,9/5/15 16:03,30.1 ,35.1 ,9/5/15 12:54,26.6 ,9/5/15 04:11,24.1 ,71 ,58 ,9/5/15 12:54,1.7 ,280 ,9.5 ,300 ,9/5/15 16:47,0.0 ,0.0 ,0.0 ,,0.0 ,,6.0 ,48.1 ,19.26 ,15.1 ,3.7 
6,1003.0 ,1006.4 ,1004.9 ,9/6/15 00:02,1000.1 ,9/6/15 14:59,30.8 ,36.6 ,9/6/15 14:05,26.4 ,9/6/15 21:28,24.3 ,69 ,49 ,9/6/15 12:08,1.8 ,260 ,13.2 ,320 ,9/6/15 20:01,4.0 ,2.8 ,4.0 ,9/6/15 21:20,4.0 ,9/6/15 21:20,10.1 ,81.1 ,23.96 ,16.6 ,-4.5 
7,1004.8 ,1008.3 ,1007.1 ,9/7/15 22:48,1002.3 ,9/7/15 04:10,26.1 ,28.0 ,9/7/15 12:37,23.8 ,9/7/15 08:22,22.8 ,82 ,72 ,9/7/15 14:07,1.6 ,140 ,8.7 ,80 ,9/7/15 08:25,32.1 ,7.6 ,6.0 ,9/7/15 05:47,16.5 ,9/7/15 05:12,0.0 ,0.0 ,5.55 ,9.4 ,-1.0 
8,1006.7 ,1010.2 ,1008.9 ,9/8/15 21:44,1005.2 ,9/8/15 03:15,27.1 ,31.5 ,9/8/15 13:05,23.7 ,9/8/15 05:51,21.9 ,74 ,58 ,9/8/15 12:05,2.5 ,80 ,10.5 ,80 ,9/8/15 14:03,2.0 ,0.9 ,1.0 ,9/8/15 21:08,2.0 ,9/8/15 21:03,9.1 ,73.4 ,23.84 ,20.1 ,-5.0 
9,1009.3 ,1012.8 ,1011.0 ,9/9/15 22:00,1007.9 ,9/9/15 15:39,27.0 ,30.8 ,9/9/15 11:20,24.5 ,9/9/15 23:51,20.2 ,67 ,54 ,9/9/15 11:49,2.5 ,70 ,9.5 ,70 ,9/9/15 15:21,0.0 ,0.0 ,0.0 ,,0.0 ,,9.0 ,72.7 ,18.68 ,21.8 ,6.5 
10,1009.7 ,1013.2 ,1011.3 ,9/10/15 10:11,1007.7 ,9/10/15 14:59,26.5 ,31.1 ,9/10/15 13:09,23.3 ,9/10/15 05:36,19.2 ,65 ,51 ,9/10/15 11:21,2.5 ,60 ,11.7 ,50 ,9/10/15 16:38,0.0 ,0.0 ,0.0 ,,0.0 ,,10.9 ,88.3 ,12.55 ,17.3 ,5.6 
