ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA
1,1023.5 ,1027.2 ,1025.3 ,2/1/15 07:59,1021.7 ,2/1/15 14:53,15.6 ,18.8 ,2/1/15 11:27,13.4 ,2/1/15 04:55,10.8 ,74 ,63 ,2/1/15 11:27,4.3 ,80 ,14.4 ,90 ,2/1/15 12:07,0.0 ,0.0 ,0.0 ,,0.0 ,,2.6 ,23.7 ,12.18 ,18.4 ,3.0 
2,1021.7 ,1025.4 ,1023.3 ,2/2/15 08:43,1019.8 ,2/2/15 15:15,17.7 ,21.3 ,2/2/15 11:53,15.9 ,2/2/15 00:01,13.1 ,74 ,65 ,2/2/15 11:12,4.5 ,80 ,13.5 ,90 ,2/2/15 14:44,0.0 ,0.0 ,0.0 ,,0.0 ,,7.0 ,63.8 ,15.67 ,19.9 ,-2.0 
3,1021.1 ,1024.7 ,1022.9 ,2/3/15 09:15,1018.9 ,2/3/15 15:23,16.9 ,18.3 ,2/3/15 13:26,15.8 ,2/3/15 22:49,14.3 ,85 ,80 ,2/3/15 15:12,2.3 ,80 ,8.6 ,60 ,2/3/15 15:29,3.5 ,13.7 ,0.5 ,2/3/15 05:11,2.0 ,2/3/15 05:09,0.0 ,0.0 ,4.02 ,10.1 ,-0.5 
4,1020.4 ,1024.1 ,1021.5 ,2/4/15 23:14,1018.6 ,2/4/15 14:58,15.2 ,16.7 ,2/4/15 10:08,14.1 ,2/4/15 22:58,11.9 ,81 ,72 ,2/4/15 15:56,2.0 ,80 ,8.7 ,70 ,2/4/15 11:46,3.0 ,10.7 ,0.5 ,2/4/15 01:11,1.5 ,2/4/15 01:07,0.0 ,0.0 ,1.74 ,12.0 ,-0.7 
5,1023.0 ,1026.7 ,1024.7 ,2/5/15 08:59,1021.2 ,2/5/15 00:01,12.2 ,14.3 ,2/5/15 00:02,11.4 ,2/5/15 08:21,7.0 ,71 ,60 ,2/5/15 19:41,2.1 ,80 ,9.7 ,50 ,2/5/15 11:28,4.0 ,10.5 ,0.5 ,2/5/15 00:38,1.5 ,2/5/15 00:33,0.0 ,0.0 ,0.00 ,4.7 ,-0.5 
6,1021.0 ,1024.7 ,1023.6 ,2/6/15 00:04,1019.1 ,2/6/15 16:51,12.3 ,13.8 ,2/6/15 23:04,10.5 ,2/6/15 05:02,8.7 ,79 ,59 ,2/6/15 01:23,2.7 ,80 ,11.2 ,80 ,2/6/15 00:01,1.0 ,10.9 ,0.3 ,2/6/15 06:26,0.5 ,2/6/15 05:36,0.0 ,0.0 ,0.00 ,10.1 ,-0.5 
7,1016.9 ,1020.5 ,1019.9 ,2/7/15 00:02,1013.6 ,2/7/15 14:49,17.1 ,23.0 ,2/7/15 14:36,12.4 ,2/7/15 05:20,12.3 ,75 ,49 ,2/7/15 14:34,1.3 ,80 ,8.4 ,70 ,2/7/15 22:26,T ,0.4 ,T ,2/7/15 21:06,T ,2/7/15 21:06,3.4 ,30.7 ,12.80 ,13.9 ,-1.0 
8,1022.0 ,1025.7 ,1024.8 ,2/8/15 20:02,1017.9 ,2/8/15 00:02,13.5 ,16.8 ,2/8/15 00:21,11.5 ,2/8/15 20:00,7.3 ,67 ,53 ,2/8/15 22:41,2.4 ,50 ,11.4 ,90 ,2/8/15 21:29,3.5 ,7.6 ,0.5 ,2/8/15 01:55,2.0 ,2/8/15 02:00,0.0 ,0.0 ,0.00 ,8.5 ,-1.8 
9,1023.8 ,1027.5 ,1026.0 ,2/9/15 09:32,1022.2 ,2/9/15 15:28,11.3 ,12.3 ,2/9/15 13:35,9.8 ,2/9/15 06:03,6.0 ,70 ,53 ,2/9/15 00:19,2.0 ,80 ,10.6 ,90 ,2/9/15 00:18,0.5 ,3.8 ,0.5 ,2/9/15 05:24,0.5 ,2/9/15 04:34,0.0 ,0.0 ,1.27 ,15.9 ,-0.4 
10,1018.4 ,1022.1 ,1022.7 ,2/10/15 00:39,1015.0 ,2/10/15 23:59,13.8 ,16.1 ,2/10/15 12:00,11.8 ,2/10/15 00:07,7.4 ,65 ,58 ,2/10/15 14:01,2.3 ,80 ,9.9 ,70 ,2/10/15 10:20,0.0 ,0.0 ,0.0 ,,0.0 ,,0.0 ,0.0 ,7.13 ,20.0 ,1.3 
11,1013.8 ,1017.5 ,1015.7 ,2/11/15 08:59,1011.7 ,2/11/15 14:25,15.3 ,20.0 ,2/11/15 13:12,11.8 ,2/11/15 02:45,9.9 ,71 ,53 ,2/11/15 12:44,0.6 ,200 ,6.2 ,340 ,2/11/15 14:32,0.0 ,0.0 ,0.0 ,,0.0 ,,1.6 ,14.3 ,8.80 ,16.6 ,1.6 
12,1015.3 ,1018.9 ,1017.4 ,2/12/15 08:50,1013.2 ,2/12/15 01:24,15.9 ,21.1 ,2/12/15 12:07,12.0 ,2/12/15 23:59,6.5 ,56 ,34 ,2/12/15 12:45,1.8 ,310 ,8.5 ,300 ,2/12/15 13:40,0.0 ,0.0 ,0.0 ,,0.0 ,,5.2 ,46.5 ,14.04 ,11.6 ,3.1 
