ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA
1,1009.0,1012.5,1011.1,4/1/15 05:50,1006.8,4/1/15 15:06,26.4,32.6,4/1/15 11:13,22.9,4/1/15 06:48,21.7,76,49,4/1/15 11:11,1.0,360,8.1,330,4/1/15 12:11,0.0,0.0,0.0,,0.0,,6.8,55.1,21.52,10.6,2.8
2,1005.2,1008.7,1007.9,4/2/15 08:07,1003.0,4/2/15 15:36,26.4,32.1,4/2/15 12:09,22.6,4/2/15 04:41,21.7,76,53,4/2/15 12:02,1.3,80,6.7,330,4/2/15 13:19,0.0,0.0,0.0,,0.0,,6.3,51.0,19.61,9.3,3.0
3,1004.7,1008.2,1007.2,4/3/15 09:21,1002.4,4/3/15 16:10,27.4,33.6,4/3/15 13:22,22.9,4/3/15 06:16,21.5,71,49,4/3/15 13:02,1.2,80,7.4,330,4/3/15 17:04,0.0,0.0,0.0,,0.0,,8.0,64.6,21.88,11.0,4.1
4,1007.4,1010.9,1010.1,4/4/15 22:35,1005.2,4/4/15 03:59,27.6,32.6,4/4/15 12:14,24.5,4/4/15 03:55,21.9,71,54,4/4/15 12:22,0.7,320,7.0,350,4/4/15 14:37,0.0,0.0,0.0,,0.0,,5.7,45.9,20.15,11.3,4.8
5,1008.3,1011.7,1009.9,4/5/15 00:04,1006.3,4/5/15 16:22,28.2,33.3,4/5/15 11:08,23.6,4/5/15 05:36,22.2,71,56,4/5/15 10:52,1.2,330,7.1,330,4/5/15 11:55,0.0,0.0,0.0,,0.0,,9.6,77.2,23.38,13.5,5.9
6,1008.9,1012.4,1012.2,4/6/15 23:41,1006.7,4/6/15 14:34,27.7,34.5,4/6/15 14:56,21.6,4/6/15 23:59,21.8,72,47,4/6/15 14:03,1.8,80,12.8,80,4/6/15 23:58,T,1.0,T,4/6/15 22:30,T,4/6/15 22:30,8.0,64.2,22.88,13.8,-4.2
7,1014.9,1018.5,1019.8,4/7/15 23:02,1011.6,4/7/15 01:23,19.1,21.7,4/7/15 00:02,15.8,4/7/15 23:50,15.1,78,74,4/7/15 21:45,4.9,80,14.8,90,4/7/15 11:50,0.0,0.0,0.0,,0.0,,0.0,0.0,7.73,12.5,2.9
8,1018.6,1022.3,1019.9,4/8/15 09:50,1016.7,4/8/15 14:40,15.5,16.5,4/8/15 12:02,14.7,4/8/15 20:04,12.1,81,76,4/8/15 00:01,3.7,80,12.3,80,4/8/15 23:40,2.0,4.4,0.5,4/8/15 19:42,1.0,4/8/15 19:43,0.0,0.0,3.15,14.3,-1.2
9,1015.7,1019.3,1017.8,4/9/15 00:02,1013.8,4/9/15 14:54,17.3,18.8,4/9/15 12:59,14.8,4/9/15 00:12,14.9,86,80,4/9/15 13:24,3.5,80,13.2,90,4/9/15 10:29,5.0,9.2,1.0,4/9/15 03:44,2.5,4/9/15 02:54,0.0,0.0,7.05,12.3,-1.2
10,1015.9,1019.5,1018.3,4/10/15 22:54,1013.9,4/10/15 01:33,17.1,18.3,4/10/15 00:02,15.5,4/10/15 23:12,14.9,86,81,4/10/15 23:19,3.3,80,10.3,80,4/10/15 12:58,9.0,10.4,1.0,4/10/15 10:54,3.5,4/10/15 10:55,0.0,0.0,4.40,11.6,-0.3
