ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA
1,1024.9,1028.6,1027.1,1/1/15 09:03,1021.8,1/1/15 00:03,13.7,16.2,1/1/15 00:02,12.2,1/1/15 18:05,5.1,56,47,1/1/15 11:18,3.6,80,11.5,70,1/1/15 02:09,0.0,0.0,0.0,,0.0,,3.1,29.3,9.40,13.8,2.5
2,1023.2,1026.9,1025.4,1/2/15 00:46,1020.6,1/2/15 14:41,14.2,17.4,1/2/15 13:33,12.3,1/2/15 00:01,5.8,57,51,1/2/15 12:20,4.1,80,13.7,70,1/2/15 15:30,0.0,0.0,0.0,,0.0,,5.1,48.2,12.23,23.6,2.4
3,1018.8,1022.5,1022.6,1/3/15 00:02,1016.2,1/3/15 14:21,16.5,21.6,1/3/15 13:39,12.7,1/3/15 03:30,8.4,59,45,1/3/15 14:54,2.4,80,9.5,70,1/3/15 08:43,0.0,0.0,0.0,,0.0,,8.2,77.5,14.26,21.5,2.6
4,1014.4,1018.0,1016.4,1/4/15 00:07,1012.4,1/4/15 14:23,17.4,23.7,1/4/15 12:28,12.9,1/4/15 05:31,11.4,68,43,1/4/15 12:21,1.1,160,5.8,340,1/4/15 13:49,0.0,0.0,0.0,,0.0,,8.9,84.1,13.91,11.8,0.8
5,1012.1,1015.7,1014.5,1/5/15 08:54,1010.6,1/5/15 13:38,18.5,24.8,1/5/15 11:40,14.1,1/5/15 04:07,13.8,75,49,1/5/15 13:01,0.6,170,5.1,310,1/5/15 14:17,0.0,0.0,0.0,,0.0,,3.7,34.9,7.99,16.3,0.9
6,1012.2,1015.8,1014.0,1/6/15 21:49,1010.3,1/6/15 13:23,19.5,24.1,1/6/15 13:28,16.8,1/6/15 00:44,14.3,73,57,1/6/15 11:02,2.6,80,12.7,70,1/6/15 19:17,0.0,0.0,0.0,,0.0,,0.6,5.7,8.08,10.0,2.1
7,1018.6,1022.3,1023.2,1/7/15 22:50,1013.1,1/7/15 00:05,15.4,17.7,1/7/15 01:54,13.3,1/7/15 22:25,10.9,75,66,1/7/15 22:07,3.2,80,10.5,60,1/7/15 07:30,0.0,0.0,0.0,,0.0,,0.0,0.0,2.15,12.6,1.3
8,1024.2,1027.9,1026.7,1/8/15 08:41,1022.8,1/8/15 00:02,13.5,15.1,1/8/15 12:41,12.2,1/8/15 07:01,5.9,60,55,1/8/15 11:16,2.7,110,10.9,90,1/8/15 11:56,0.0,0.0,0.0,,0.0,,0.0,0.0,4.37,11.9,2.3
9,1022.3,1026.0,1024.5,1/9/15 08:13,1019.9,1/9/15 13:51,16.0,18.8,1/9/15 14:10,14.1,1/9/15 00:02,7.9,59,52,1/9/15 11:47,3.7,80,13.8,70,1/9/15 11:06,0.0,0.0,0.0,,0.0,,4.7,44.2,12.32,13.8,3.8
10,1021.2,1024.9,1023.1,1/10/15 09:01,1019.4,1/10/15 14:11,16.7,19.1,1/10/15 14:14,15.2,1/10/15 02:28,8.4,58,50,1/10/15 14:53,3.3,80,11.2,90,1/10/15 13:59,0.0,0.0,0.0,,0.0,,2.3,21.6,8.16,18.8,1.5
11,1020.9,1024.5,1022.5,1/11/15 09:03,1019.4,1/11/15 04:24,17.4,18.8,1/11/15 14:03,16.2,1/11/15 05:06,9.2,59,51,1/11/15 15:45,3.4,100,11.9,90,1/11/15 12:08,0.0,0.0,0.0,,0.0,,0.0,0.0,4.75,12.9,3.4
12,1021.0,1024.7,1023.5,1/12/15 09:42,1018.8,1/12/15 23:43,17.1,18.2,1/12/15 08:29,15.4,1/12/15 19:27,10.2,66,50,1/12/15 06:14,4.3,90,12.2,90,1/12/15 22:27,1.5,8.1,0.5,1/12/15 20:49,1.0,1/12/15 22:00,0.0,0.0,0.37,12.0,-0.3
13,1014.4,1017.9,1019.0,1/13/15 00:03,1010.9,1/13/15 15:05,20.3,24.6,1/13/15 13:12,15.9,1/13/15 00:01,13.7,67,53,1/13/15 13:04,3.5,80,13.5,100,1/13/15 06:42,2.0,2.0,0.5,1/13/15 22:37,1.5,1/13/15 22:20,7.1,66.6,14.69,16.8,-2.0
14,1017.4,1021.1,1020.5,1/14/15 23:45,1013.7,1/14/15 04:01,16.2,17.9,1/14/15 14:05,14.8,1/14/15 08:21,12.2,78,64,1/14/15 19:31,2.0,290,10.7,330,1/14/15 06:51,5.0,9.4,1.0,1/14/15 02:14,3.5,1/14/15 02:10,0.0,0.0,3.63,11.1,-2.0
15,1019.8,1023.5,1021.8,1/15/15 09:41,1018.5,1/15/15 16:10,16.1,17.1,1/15/15 21:01,14.7,1/15/15 01:18,9.5,65,62,1/15/15 09:29,3.1,80,9.0,80,1/15/15 16:10,0.0,0.0,0.0,,0.0,,0.0,0.0,0.85,14.9,0.5
16,1019.2,1022.9,1021.9,1/16/15 22:03,1016.5,1/16/15 14:21,17.5,21.1,1/16/15 11:03,15.4,1/16/15 02:51,10.9,66,56,1/16/15 11:59,2.7,80,10.8,30,1/16/15 16:22,0.0,0.0,0.0,,0.0,,6.5,60.7,14.58,18.4,3.7
17,1023.0,1026.7,1026.0,1/17/15 09:51,1021.3,1/17/15 03:06,15.3,16.3,1/17/15 13:04,14.5,1/17/15 08:12,7.1,58,50,1/17/15 08:42,3.8,80,12.8,90,1/17/15 12:47,T,1.0,T,1/17/15 19:30,T,1/17/15 19:30,0.0,0.0,4.34,6.5,-0.9
18,1020.0,1023.7,1022.1,1/18/15 00:04,1017.6,1/18/15 14:52,16.8,20.6,1/18/15 13:34,14.8,1/18/15 05:05,9.5,62,56,1/18/15 11:55,3.4,80,11.1,70,1/18/15 16:00,0.0,0.0,0.0,,0.0,,5.7,53.1,13.51,13.3,2.6
19,1020.4,1024.1,1022.5,1/19/15 10:04,1019.2,1/19/15 15:47,16.0,17.0,1/19/15 12:05,15.1,1/19/15 04:06,7.4,57,52,1/19/15 09:26,4.5,80,15.0,70,1/19/15 09:10,0.0,0.0,0.0,,0.0,,0.1,0.9,6.53,10.5,2.3
20,1016.8,1020.4,1019.7,1/20/15 00:07,1014.2,1/20/15 14:21,18.4,21.8,1/20/15 13:46,15.8,1/20/15 02:46,10.8,61,54,1/20/15 00:30,3.6,80,11.8,80,1/20/15 10:30,0.0,0.0,0.0,,0.0,,6.8,63.2,13.70,11.8,-2.9
21,1016.3,1019.9,1018.3,1/21/15 09:10,1014.0,1/21/15 14:08,17.7,21.5,1/21/15 13:29,14.5,1/21/15 23:50,12.8,74,60,1/21/15 19:13,1.3,300,7.1,270,1/21/15 15:32,0.5,6.8,0.5,1/21/15 07:47,0.5,1/21/15 06:57,3.8,35.3,10.19,10.5,1.5
22,1018.9,1022.6,1021.1,1/22/15 21:10,1016.7,1/22/15 15:20,14.8,20.0,1/22/15 10:45,11.7,1/22/15 23:50,7.4,62,43,1/22/15 11:00,1.4,100,7.6,80,1/22/15 12:45,0.0,0.0,0.0,,0.0,,4.6,42.6,10.22,9.1,1.3
23,1018.5,1022.2,1020.7,1/23/15 00:02,1016.1,1/23/15 14:19,15.3,21.2,1/23/15 13:38,10.3,1/23/15 04:36,6.9,58,39,1/23/15 14:46,2.5,80,11.2,80,1/23/15 11:53,0.0,0.0,0.0,,0.0,,9.2,85.2,15.60,10.9,2.6
24,1017.8,1021.4,1019.1,1/24/15 08:24,1015.1,1/24/15 14:17,17.4,24.8,1/24/15 14:47,11.6,1/24/15 05:57,9.7,62,40,1/24/15 12:43,1.1,130,6.9,90,1/24/15 12:24,0.0,0.0,0.0,,0.0,,9.3,86.0,15.67,15.6,1.1
25,1016.6,1020.2,1019.1,1/25/15 10:00,1014.3,1/25/15 15:15,19.2,23.8,1/25/15 13:42,15.2,1/25/15 01:17,12.6,66,53,1/25/15 13:38,0.9,80,5.1,40,1/25/15 14:13,0.0,0.0,0.0,,0.0,,2.5,23.1,9.41,13.8,1.4
26,1016.0,1019.6,1017.8,1/26/15 09:04,1013.8,1/26/15 14:31,18.9,21.8,1/26/15 13:50,17.2,1/26/15 05:29,14.4,75,62,1/26/15 13:49,1.3,100,6.7,90,1/26/15 16:30,1.0,6.6,0.5,1/26/15 20:54,0.5,1/26/15 20:04,0.2,1.8,6.88,10.6,-1.9
27,1015.7,1019.3,1017.4,1/27/15 22:56,1013.4,1/27/15 14:46,17.1,18.8,1/27/15 11:00,15.2,1/27/15 23:57,14.3,84,78,1/27/15 20:51,3.1,80,11.9,60,1/27/15 20:55,10.0,16.4,1.0,1/27/15 02:19,2.5,1/27/15 03:00,0.0,0.0,2.28,5.0,-0.3
28,1017.1,1020.8,1018.9,1/28/15 09:39,1015.3,1/28/15 14:43,15.0,15.7,1/28/15 12:43,14.4,1/28/15 06:46,11.9,82,78,1/28/15 12:55,3.7,80,11.8,80,1/28/15 09:57,T,0.9,T,1/28/15 07:10,T,1/28/15 07:10,0.0,0.0,3.50,8.9,1.0
29,1015.8,1019.4,1017.4,1/29/15 00:05,1013.2,1/29/15 14:01,18.2,23.1,1/29/15 14:14,14.8,1/29/15 00:05,14.3,78,66,1/29/15 14:14,2.9,80,11.1,80,1/29/15 14:37,0.0,0.0,0.0,,0.0,,2.7,24.8,11.04,17.4,1.8
30,1019.5,1023.1,1023.6,1/30/15 21:38,1015.4,1/30/15 02:20,16.7,18.7,1/30/15 00:01,14.1,1/30/15 23:57,11.9,73,68,1/30/15 10:47,2.7,80,10.2,70,1/30/15 14:42,0.0,0.0,0.0,,0.0,,0.5,4.6,3.47,15.9,1.5
31,1024.0,1027.7,1026.1,1/31/15 09:32,1022.5,1/31/15 01:17,14.2,15.3,1/31/15 10:26,13.7,1/31/15 22:57,10.2,77,74,1/31/15 03:53,3.9,80,12.1,80,1/31/15 14:09,0.0,0.0,0.0,,0.0,,0.1,0.9,3.58,9.8,1.3
