ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA
1,1011.7,1015.2,1012.9,4/1/16 08:42,1010.3,4/1/16 03:08,20.8,23.4,4/1/16 13:00,18.2,4/1/16 00:19,15.3,71,63,4/1/16 13:31,3.0,60,10.5,60,4/1/16 08:50,0.0,0.0,0.0,,0.0,,0.1,0.8,11.42,11.2,1.8
2,1011.6,1015.2,1013.8,4/2/16 08:40,1009.5,4/2/16 15:10,24.1,30.3,4/2/16 12:11,19.2,4/2/16 05:53,17.3,67,46,4/2/16 13:03,0.9,310,7.4,320,4/2/16 13:37,0.0,0.0,0.0,,0.0,,4.7,38.0,18.61,8.4,2.4
3,1009.8,1013.3,1012.1,4/3/16 00:01,1008.0,4/3/16 17:20,25.0,30.5,4/3/16 11:58,21.1,4/3/16 05:36,19.4,71,54,4/3/16 11:54,1.0,240,9.9,270,4/3/16 14:31,0.0,0.0,0.0,,0.0,,2.6,21.0,14.18,6.6,2.9
4,1009.6,1013.1,1011.2,4/4/16 08:30,1007.9,4/4/16 01:04,23.5,28.8,4/4/16 11:18,21.4,4/4/16 19:43,19.0,76,58,4/4/16 11:51,1.4,60,7.5,320,4/4/16 11:58,0.0,0.0,0.0,,0.0,,0.1,0.8,9.17,6.0,1.4
5,1011.0,1014.5,1012.6,4/5/16 08:05,1009.3,4/5/16 16:32,24.2,28.8,4/5/16 10:01,21.4,4/5/16 00:02,18.6,71,59,4/5/16 15:20,0.8,50,7.6,310,4/5/16 10:39,0.0,0.0,0.0,,0.0,,4.3,34.6,16.92,5.6,3.2
6,1009.5,1013.0,1011.7,4/6/16 08:25,1006.8,4/6/16 14:08,25.7,32.9,4/6/16 12:21,21.3,4/6/16 05:26,19.4,69,44,4/6/16 12:30,0.8,300,8.8,320,4/6/16 15:44,0.0,0.0,0.0,,0.0,,8.4,67.4,22.30,8.2,3.8
7,1009.4,1012.8,1010.7,4/7/16 21:04,1008.0,4/7/16 17:06,27.3,32.7,4/7/16 11:17,23.0,4/7/16 06:07,20.7,68,51,4/7/16 11:01,1.0,310,8.2,310,4/7/16 12:49,0.0,0.0,0.0,,0.0,,7.1,56.9,19.94,7.5,3.7
8,1010.4,1013.9,1011.8,4/8/16 23:25,1009.4,4/8/16 03:16,24.1,30.9,4/8/16 11:44,21.4,4/8/16 17:00,19.4,75,60,4/8/16 11:56,1.5,60,7.7,310,4/8/16 12:24,0.0,0.0,0.0,,0.0,,2.1,16.8,11.89,6.2,2.9
9,1008.8,1012.3,1011.6,4/9/16 00:04,1005.7,4/9/16 16:03,23.6,27.6,4/9/16 11:34,21.5,4/9/16 01:36,18.8,75,65,4/9/16 13:03,1.1,290,7.7,290,4/9/16 23:56,0.0,0.0,0.0,,0.0,,0.3,2.4,7.90,6.0,-1.1
10,1006.5,1010.0,1009.8,4/10/16 00:01,1004.6,4/10/16 14:54,23.2,28.9,4/10/16 10:54,20.4,4/10/16 01:24,19.6,81,62,4/10/16 10:39,0.8,210,8.4,300,4/10/16 00:12,10.0,6.9,2.0,4/10/16 12:06,3.0,4/10/16 15:46,2.2,17.5,8.39,9.0,-0.3
11,1008.7,1012.3,1010.6,4/11/16 10:11,1007.2,4/11/16 03:17,20.3,21.3,4/11/16 11:49,19.0,4/11/16 06:16,17.5,84,79,4/11/16 14:21,2.3,60,8.3,60,4/11/16 13:43,15.0,19.9,2.8,4/11/16 20:29,6.6,4/11/16 20:25,0.0,0.0,3.23,11.6,-1.8
