ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA
1,1022.1,1025.7,1025.2,1/1/16 00:01,1019.5,1/1/16 15:17,19.0,22.1,1/1/16 14:21,16.5,1/1/16 01:31,15.2,79,71,1/1/16 00:01,3.9,50,12.9,50,1/1/16 13:10,0.0,0.0,0.0,,0.0,,5.1,48.3,12.50,9.7,1.5
2,1018.6,1022.2,1020.5,1/2/16 08:32,1016.7,1/2/16 15:42,18.9,20.4,1/2/16 15:44,17.2,1/2/16 05:50,16.3,85,81,1/2/16 15:44,0.6,120,4.1,220,1/2/16 01:27,T,1.1,T,1/2/16 20:44,T,1/2/16 20:44,0.0,0.0,4.41,4.8,-1.1
3,1016.7,1020.3,1019.0,1/3/16 07:44,1014.3,1/3/16 15:32,19.1,20.1,1/3/16 10:24,18.3,1/3/16 03:52,17.7,91,87,1/3/16 19:00,1.1,60,6.5,50,1/3/16 17:25,15.0,10.4,3.5,1/3/16 07:47,4.0,1/3/16 07:00,0.0,0.0,3.23,6.4,-3.8
4,1014.9,1018.5,1017.0,1/4/16 09:17,1013.8,1/4/16 14:12,20.6,23.4,1/4/16 12:41,18.7,1/4/16 01:04,19.2,92,83,1/4/16 12:24,0.4,180,3.8,320,1/4/16 12:45,0.7,0.6,0.5,1/4/16 06:09,0.5,1/4/16 06:05,0.2,1.9,3.97,6.4,-0.6
5,1013.8,1017.4,1015.8,1/5/16 21:31,1012.0,1/5/16 13:23,20.7,24.5,1/5/16 12:15,19.0,1/5/16 02:57,18.8,89,82,1/5/16 20:02,1.2,70,7.0,310,1/5/16 13:43,0.7,6.5,0.3,1/5/16 07:58,0.5,1/5/16 07:40,0.6,5.7,5.65,8.9,-1.8
6,1015.9,1019.5,1019.6,1/6/16 22:22,1012.1,1/6/16 04:09,18.9,20.5,1/6/16 06:44,17.1,1/6/16 23:45,16.7,87,80,1/6/16 19:08,1.7,50,8.8,40,1/6/16 03:42,32.1,9.6,4.1,1/6/16 07:17,13.5,1/6/16 07:04,0.4,3.8,3.52,9.8,-1.6
7,1018.6,1022.2,1020.7,1/7/16 09:40,1016.7,1/7/16 14:13,17.9,19.7,1/7/16 12:53,16.8,1/7/16 22:01,14.4,80,74,1/7/16 13:38,3.1,60,10.7,50,1/7/16 14:14,T,2.8,T,1/7/16 19:15,T,1/7/16 19:15,0.0,0.0,4.55,12.6,-1.4
8,1017.7,1021.3,1019.4,1/8/16 21:39,1015.7,1/8/16 03:46,17.0,18.4,1/8/16 12:09,15.9,1/8/16 07:03,13.7,81,72,1/8/16 15:01,2.2,50,9.6,60,1/8/16 00:19,3.1,4.5,1.4,1/8/16 04:58,2.0,1/8/16 04:40,0.0,0.0,1.26,10.8,0.3
9,1018.3,1021.9,1020.8,1/9/16 09:27,1016.2,1/9/16 13:44,17.1,19.6,1/9/16 14:11,14.4,1/9/16 07:16,12.9,77,69,1/9/16 12:36,4.0,60,14.1,40,1/9/16 13:34,0.0,0.0,0.0,,0.0,,7.1,66.8,13.78,14.2,2.6
10,1014.8,1018.4,1017.8,1/10/16 09:10,1012.2,1/10/16 13:51,19.6,23.3,1/10/16 13:24,15.7,1/10/16 05:16,16.4,82,75,1/10/16 13:14,1.7,60,8.8,60,1/10/16 17:15,0.0,0.0,0.0,,0.0,,0.3,2.8,8.22,16.2,-0.5
