ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA
1,1020.7 ,1024.4 ,1023.4 ,2/1/16 19:12,1016.2 ,2/1/16 00:02,14.2 ,18.3 ,2/1/16 00:50,11.7 ,2/1/16 22:49,11.9 ,86 ,81 ,2/1/16 03:50,3.1 ,60 ,11.2 ,60 ,2/1/16 00:21,14.0 ,22.9 ,1.2 ,2/1/16 11:48,2.2 ,2/1/16 11:48,0.0 ,0.0 ,2.09 ,13.2 ,-0.9 
2,1021.3 ,1025.0 ,1023.5 ,2/2/16 10:02,1019.4 ,2/2/16 15:37,12.3 ,13.0 ,2/2/16 13:20,11.5 ,2/2/16 00:58,11.7 ,97 ,92 ,2/2/16 14:38,2.5 ,60 ,8.3 ,50 ,2/2/16 00:56,11.0 ,16.5 ,2.0 ,2/2/16 03:30,4.5 ,2/2/16 03:25,0.0 ,0.0 ,1.81 ,10.2 ,-0.2 
3,1020.0 ,1023.7 ,1021.2 ,2/3/16 08:21,1018.5 ,2/3/16 13:33,14.3 ,16.0 ,2/3/16 11:19,12.7 ,2/3/16 00:01,13.6 ,96 ,90 ,2/3/16 14:04,3.1 ,60 ,10.1 ,50 ,2/3/16 11:28,1.5 ,9.9 ,0.5 ,2/3/16 06:08,0.5 ,2/3/16 06:08,0.0 ,0.0 ,4.20 ,15.2 ,-4.4 
4,1017.6 ,1021.3 ,1020.2 ,2/4/16 00:23,1015.3 ,2/4/16 15:52,17.0 ,21.1 ,2/4/16 10:39,14.6 ,2/4/16 06:10,15.5 ,91 ,79 ,2/4/16 10:38,1.4 ,60 ,6.3 ,60 ,2/4/16 10:52,4.5 ,10.0 ,1.0 ,2/4/16 22:18,2.0 ,2/4/16 21:28,1.9 ,17.3 ,4.92 ,13.8 ,X 
5,1017.1 ,1020.8 ,1019.1 ,2/5/16 09:25,1014.8 ,2/5/16 15:20,14.6 ,16.0 ,2/5/16 00:01,13.4 ,2/5/16 21:33,12.7 ,88 ,78 ,2/5/16 19:51,1.2 ,300 ,8.2 ,60 ,2/5/16 23:39,6.2 ,23.0 ,0.6 ,2/5/16 00:10,2.3 ,2/5/16 00:01,0.0 ,0.0 ,0.38 ,12.4 ,-1.0 
6,1021.7 ,1025.4 ,1025.1 ,2/6/16 22:06,1018.3 ,2/6/16 00:07,11.8 ,13.4 ,2/6/16 00:01,9.4 ,2/6/16 23:52,6.4 ,70 ,59 ,2/6/16 17:38,1.5 ,310 ,8.7 ,360 ,2/6/16 01:04,T ,6.2 ,T ,2/6/16 00:01,T ,2/6/16 00:01,0.0 ,0.0 ,1.04 ,6.7 ,0.5 
7,1022.6 ,1026.4 ,1024.8 ,2/7/16 00:34,1019.7 ,2/7/16 15:18,11.2 ,16.9 ,2/7/16 14:20,8.1 ,2/7/16 06:30,5.4 ,69 ,49 ,2/7/16 15:39,1.4 ,160 ,7.6 ,310 ,2/7/16 16:55,0.0 ,0.0 ,0.0 ,,0.0 ,,9.0 ,81.3 ,16.45 ,11.6 ,2.4 
8,1020.8 ,1024.5 ,1023.3 ,2/8/16 09:27,1017.8 ,2/8/16 15:29,12.8 ,21.2 ,2/8/16 13:55,6.1 ,2/8/16 05:35,5.3 ,64 ,29 ,2/8/16 12:37,1.5 ,50 ,8.4 ,60 ,2/8/16 17:24,0.0 ,0.0 ,0.0 ,,0.0 ,,10.4 ,93.8 ,19.34 ,23.8 ,2.1 
9,1017.7 ,1021.4 ,1019.8 ,2/9/16 00:01,1016.0 ,2/9/16 15:19,16.0 ,23.8 ,2/9/16 13:28,9.0 ,2/9/16 03:52,9.7 ,68 ,41 ,2/9/16 12:39,1.5 ,50 ,7.6 ,50 ,2/9/16 19:27,0.0 ,0.0 ,0.0 ,,0.0 ,,10.5 ,94.5 ,19.52 ,24.0 ,1.6 
10,1014.8 ,1018.4 ,1017.7 ,2/10/16 08:43,1012.7 ,2/10/16 22:44,19.2 ,27.0 ,2/10/16 13:48,11.9 ,2/10/16 06:11,13.3 ,70 ,41 ,2/10/16 12:09,1.3 ,90 ,8.3 ,60 ,2/10/16 18:42,0.0 ,0.0 ,0.0 ,,0.0 ,,10.0 ,89.8 ,18.85 ,21.8 ,-2.8 
11,1012.4 ,1016.0 ,1015.6 ,2/11/16 08:58,1010.3 ,2/11/16 14:00,20.0 ,27.2 ,2/11/16 12:00,16.9 ,2/11/16 08:02,17.2 ,84 ,66 ,2/11/16 12:17,1.1 ,80 ,7.1 ,230 ,2/11/16 07:28,T ,2.0 ,T ,2/11/16 07:30,T ,2/11/16 07:30,3.1 ,27.8 ,12.82 ,9.4 ,-1.7 
12,1010.8 ,1014.3 ,1013.2 ,2/12/16 09:21,1008.4 ,2/12/16 14:55,21.9 ,28.2 ,2/12/16 14:20,17.7 ,2/12/16 06:58,18.6 ,82 ,65 ,2/12/16 15:11,0.8 ,50 ,6.2 ,50 ,2/12/16 17:17,0.0 ,0.0 ,0.0 ,,0.0 ,,7.3 ,65.3 ,15.11 ,20.6 ,2.2 
13,1009.1 ,1012.7 ,1010.6 ,2/13/16 07:26,1006.8 ,2/13/16 14:01,23.4 ,30.5 ,2/13/16 13:38,18.6 ,2/13/16 06:31,18.9 ,77 ,53 ,2/13/16 13:42,1.3 ,160 ,10.2 ,270 ,2/13/16 16:19,0.0 ,0.0 ,0.0 ,,0.0 ,,10.3 ,92.0 ,19.77 ,22.6 ,3.0 
14,1014.1 ,1017.7 ,1022.2 ,2/14/16 23:56,1008.7 ,2/14/16 03:14,17.0 ,21.8 ,2/14/16 00:01,11.2 ,2/14/16 23:51,14.6 ,86 ,79 ,2/14/16 10:52,2.2 ,60 ,12.1 ,40 ,2/14/16 13:36,6.3 ,13.9 ,1.0 ,2/14/16 11:26,1.8 ,2/14/16 20:30,0.8 ,7.1 ,1.21 ,13.6 ,-0.2 
15,1022.7 ,1026.4 ,1024.1 ,2/15/16 08:29,1021.0 ,2/15/16 15:12,11.3 ,12.3 ,2/15/16 23:00,9.7 ,2/15/16 05:42,8.7 ,85 ,66 ,2/15/16 22:51,2.4 ,50 ,10.2 ,60 ,2/15/16 17:26,0.6 ,2.9 ,0.4 ,2/15/16 05:03,0.5 ,2/15/16 04:40,0.0 ,0.0 ,0.00 ,11.2 ,1.0 
16,1021.9 ,1025.6 ,1023.8 ,2/16/16 00:06,1020.1 ,2/16/16 14:40,12.4 ,13.4 ,2/16/16 11:13,11.6 ,2/16/16 16:58,8.1 ,75 ,61 ,2/16/16 10:52,2.8 ,70 ,10.6 ,70 ,2/16/16 11:47,0.2 ,9.4 ,0.1 ,2/16/16 20:50,0.2 ,2/16/16 20:25,0.0 ,0.0 ,0.14 ,15.8 ,-0.6 
17,1020.8 ,1024.5 ,1022.3 ,2/17/16 09:53,1019.8 ,2/17/16 13:24,13.4 ,15.2 ,2/17/16 11:21,12.3 ,2/17/16 15:53,9.8 ,80 ,56 ,2/17/16 11:21,2.8 ,70 ,9.8 ,70 ,2/17/16 12:55,4.0 ,15.8 ,0.5 ,2/17/16 22:55,1.5 ,2/17/16 22:33,0.0 ,0.0 ,0.84 ,21.0 ,-0.1 
18,1017.9 ,1021.5 ,1021.1 ,2/18/16 00:31,1015.8 ,2/18/16 14:44,16.3 ,19.1 ,2/18/16 14:54,13.2 ,2/18/16 00:01,14.1 ,87 ,76 ,2/18/16 13:21,3.2 ,60 ,9.3 ,40 ,2/18/16 12:54,9.0 ,8.0 ,1.0 ,2/18/16 00:19,2.5 ,2/18/16 00:08,0.2 ,1.8 ,8.17 ,15.4 ,-0.1 
19,1016.3 ,1020.0 ,1019.1 ,2/19/16 23:59,1013.9 ,2/19/16 15:13,16.1 ,17.7 ,2/19/16 10:09,14.4 ,2/19/16 21:52,14.4 ,90 ,83 ,2/19/16 14:32,1.4 ,260 ,8.4 ,270 ,2/19/16 18:20,0.2 ,10.5 ,0.1 ,2/19/16 00:05,0.1 ,2/19/16 00:05,0.0 ,0.0 ,2.81 ,4.2 ,-1.0 
20,1021.4 ,1025.1 ,1024.1 ,2/20/16 21:50,1018.7 ,2/20/16 04:55,14.4 ,15.9 ,2/20/16 11:07,13.4 ,2/20/16 16:23,8.4 ,68 ,51 ,2/20/16 19:12,1.9 ,20 ,9.7 ,60 ,2/20/16 18:59,0.2 ,11.6 ,0.2 ,2/20/16 16:11,0.2 ,2/20/16 15:21,0.0 ,0.0 ,2.15 ,9.2 ,-1.4 
21,1021.3 ,1025.0 ,1023.7 ,2/21/16 00:50,1019.2 ,2/21/16 23:34,15.8 ,18.7 ,2/21/16 23:31,14.0 ,2/21/16 05:47,7.8 ,59 ,51 ,2/21/16 00:12,4.5 ,60 ,13.3 ,60 ,2/21/16 13:45,0.0 ,0.0 ,0.0 ,,0.0 ,,0.0 ,0.0 ,4.46 ,12.4 ,2.2 
22,1017.8 ,1021.5 ,1020.5 ,2/22/16 22:22,1016.0 ,2/22/16 14:00,17.5 ,24.9 ,2/22/16 10:37,14.8 ,2/22/16 20:53,12.2 ,72 ,46 ,2/22/16 10:36,1.1 ,270 ,8.8 ,320 ,2/22/16 12:47,T ,2.5 ,T ,2/22/16 17:25,T ,2/22/16 17:25,2.8 ,24.6 ,9.92 ,13.0 ,-0.9 
23,1021.5 ,1025.2 ,1024.2 ,2/23/16 22:33,1019.4 ,2/23/16 03:11,14.9 ,16.5 ,2/23/16 13:09,13.4 ,2/23/16 05:49,12.2 ,84 ,74 ,2/23/16 16:28,1.7 ,60 ,7.6 ,80 ,2/23/16 19:29,3.2 ,7.1 ,1.0 ,2/23/16 04:32,1.9 ,2/23/16 04:15,0.0 ,0.0 ,1.70 ,15.6 ,-0.7 
24,1026.2 ,1029.9 ,1028.5 ,2/24/16 22:20,1022.8 ,2/24/16 03:33,13.4 ,14.3 ,2/24/16 01:27,12.5 ,2/24/16 18:34,11.0 ,86 ,77 ,2/24/16 23:50,3.8 ,60 ,11.9 ,60 ,2/24/16 19:15,3.0 ,15.1 ,0.5 ,2/24/16 12:45,1.1 ,2/24/16 11:57,0.0 ,0.0 ,0.00 ,6.0 ,-0.1 
25,1026.8 ,1030.5 ,1028.6 ,2/25/16 08:49,1025.2 ,2/25/16 16:08,13.8 ,14.8 ,2/25/16 10:47,12.9 ,2/25/16 02:32,10.1 ,78 ,71 ,2/25/16 10:55,3.9 ,60 ,12.6 ,50 ,2/25/16 22:01,0.5 ,8.4 ,0.5 ,2/25/16 06:31,0.5 ,2/25/16 05:41,0.0 ,0.0 ,0.17 ,12.6 ,-0.1 
26,1023.9 ,1027.6 ,1026.6 ,2/26/16 08:43,1021.2 ,2/26/16 23:49,14.1 ,15.5 ,2/26/16 23:42,13.2 ,2/26/16 04:33,12.1 ,88 ,78 ,2/26/16 00:38,2.9 ,70 ,10.1 ,40 ,2/26/16 12:33,4.0 ,20.5 ,0.5 ,2/26/16 05:54,1.0 ,2/26/16 17:56,0.0 ,0.0 ,1.04 ,7.0 ,-3.1 
27,1020.2 ,1023.9 ,1021.3 ,2/27/16 00:01,1018.9 ,2/27/16 03:27,15.3 ,15.9 ,2/27/16 01:17,14.9 ,2/27/16 08:44,14.1 ,93 ,90 ,2/27/16 00:03,1.2 ,220 ,6.1 ,50 ,2/27/16 00:25,10.5 ,16.7 ,1.0 ,2/27/16 07:46,2.5 ,2/27/16 07:36,0.0 ,0.0 ,1.58 ,4.6 ,-2.1 
28,1018.9 ,1022.5 ,1020.8 ,2/28/16 00:01,1016.6 ,2/28/16 14:30,18.3 ,23.4 ,2/28/16 13:17,14.7 ,2/28/16 02:59,12.5 ,71 ,50 ,2/28/16 13:17,2.4 ,60 ,12.2 ,60 ,2/28/16 16:26,0.0 ,0.0 ,0.0 ,,0.0 ,,8.3 ,71.9 ,19.92 ,16.4 ,2.9 
29,1024.0 ,1027.7 ,1026.9 ,2/29/16 21:41,1019.6 ,2/29/16 00:29,16.0 ,19.2 ,2/29/16 12:38,12.9 ,2/29/16 23:45,8.6 ,62 ,51 ,2/29/16 11:59,3.4 ,50 ,15.8 ,70 ,2/29/16 11:35,0.0 ,0.0 ,0.0 ,,0.0 ,,5.5 ,47.6 ,16.32 ,10.0 ,3.4 
