ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA
1,1008.3 ,1011.8 ,1009.9 ,5/1/15 09:08,1006.7 ,5/1/15 15:17,24.6 ,29.0 ,5/1/15 10:39,21.7 ,5/1/15 05:07,20.0 ,76 ,64 ,5/1/15 10:39,0.8 ,150 ,6.4 ,60 ,5/1/15 00:24,2.4 ,5.1 ,1.5 ,5/1/15 16:25,2.4 ,5/1/15 16:25,0.3 ,2.3 ,10.11 ,8.1 ,-0.9 
2,1006.4 ,1009.9 ,1008.6 ,5/2/15 00:04,1004.3 ,5/2/15 15:41,27.0 ,33.0 ,5/2/15 12:24,23.1 ,5/2/15 00:03,21.9 ,74 ,56 ,5/2/15 11:56,1.1 ,150 ,8.2 ,340 ,5/2/15 13:43,1.3 ,0.4 ,1.1 ,5/2/15 14:22,1.3 ,5/2/15 13:25,5.6 ,42.9 ,18.43 ,12.3 ,-2.8 
3,1005.8 ,1009.3 ,1009.0 ,5/3/15 23:03,1004.1 ,5/3/15 14:38,27.6 ,34.1 ,5/3/15 12:18,23.2 ,5/3/15 23:59,22.2 ,73 ,52 ,5/3/15 10:58,2.3 ,90 ,11.5 ,280 ,5/3/15 12:15,1.1 ,2.3 ,0.5 ,5/3/15 23:53,0.6 ,5/3/15 23:00,4.6 ,35.2 ,20.65 ,11.5 ,-3.9 
4,1009.4 ,1013.0 ,1010.7 ,5/4/15 10:34,1008.0 ,5/4/15 01:12,21.0 ,23.1 ,5/4/15 00:01,19.7 ,5/4/15 04:52,18.1 ,84 ,78 ,5/4/15 17:58,3.9 ,90 ,11.8 ,70 ,5/4/15 02:56,39.6 ,14.6 ,6.0 ,5/4/15 01:22,25.0 ,5/4/15 01:00,0.0 ,0.0 ,2.60 ,8.9 ,-1.6 
5,1008.0 ,1011.6 ,1010.1 ,5/5/15 00:03,1006.1 ,5/5/15 17:09,19.7 ,21.2 ,5/5/15 21:13,18.1 ,5/5/15 04:11,17.6 ,88 ,84 ,5/5/15 00:14,3.2 ,80 ,10.8 ,70 ,5/5/15 00:10,41.3 ,16.4 ,3.7 ,5/5/15 07:12,11.8 ,5/5/15 07:12,0.0 ,0.0 ,0.80 ,9.3 ,-1.8 
6,1005.9 ,1009.4 ,1007.6 ,5/6/15 22:00,1004.3 ,5/6/15 15:49,24.1 ,27.5 ,5/6/15 10:54,20.6 ,5/6/15 00:28,21.2 ,84 ,76 ,5/6/15 09:34,0.5 ,170 ,4.5 ,300 ,5/6/15 10:48,T ,1.4 ,T ,5/6/15 13:27,T ,5/6/15 13:27,1.2 ,9.1 ,6.58 ,7.6 ,-0.6 
7,1007.9 ,1011.4 ,1009.7 ,5/7/15 21:01,1005.8 ,5/7/15 02:07,24.6 ,29.8 ,5/7/15 13:50,22.6 ,5/7/15 03:19,21.4 ,82 ,72 ,5/7/15 13:27,2.2 ,70 ,11.9 ,60 ,5/7/15 17:31,0.0 ,0.0 ,0.0 ,,0.0 ,,2.1 ,16.0 ,12.32 ,7.9 ,3.1 
8,1006.1 ,1009.6 ,1008.6 ,5/8/15 00:01,1004.3 ,5/8/15 16:57,26.0 ,30.1 ,5/8/15 11:54,22.9 ,5/8/15 00:02,22.2 ,80 ,71 ,5/8/15 11:43,1.8 ,80 ,9.0 ,60 ,5/8/15 00:07,0.5 ,0.4 ,0.3 ,5/8/15 15:25,0.5 ,5/8/15 15:10,1.4 ,10.6 ,8.39 ,13.9 ,-1.3 
9,1006.5 ,1009.9 ,1009.6 ,5/9/15 21:07,1004.7 ,5/9/15 01:39,25.5 ,31.8 ,5/9/15 10:09,21.9 ,5/9/15 20:29,22.1 ,82 ,62 ,5/9/15 10:27,2.0 ,80 ,11.5 ,60 ,5/9/15 21:54,4.0 ,2.9 ,3.4 ,5/9/15 16:51,3.7 ,5/9/15 16:45,3.2 ,24.2 ,10.57 ,8.5 ,-2.1 
10,1007.8 ,1011.3 ,1009.6 ,5/10/15 10:34,1005.9 ,5/10/15 02:49,25.4 ,28.7 ,5/10/15 15:42,22.1 ,5/10/15 00:01,22.0 ,82 ,75 ,5/10/15 12:25,3.6 ,80 ,14.4 ,80 ,5/10/15 12:31,0.0 ,0.0 ,0.0 ,,0.0 ,,5.0 ,37.8 ,19.82 ,16.0 ,3.7 
11,1005.6 ,1009.1 ,1007.8 ,5/11/15 08:48,1003.3 ,5/11/15 17:46,26.9 ,29.9 ,5/11/15 11:23,24.7 ,5/11/15 04:53,22.9 ,79 ,69 ,5/11/15 12:39,1.0 ,210 ,8.8 ,260 ,5/11/15 23:35,0.9 ,3.7 ,0.2 ,5/11/15 13:27,0.3 ,5/11/15 15:37,0.3 ,2.3 ,9.66 ,10.5 ,-4.9 
12,1009.4 ,1013.0 ,1011.8 ,5/12/15 09:28,1004.5 ,5/12/15 01:37,22.3 ,26.5 ,5/12/15 02:40,19.6 ,5/12/15 08:04,16.4 ,71 ,43 ,5/12/15 20:31,2.5 ,80 ,11.8 ,300 ,5/12/15 03:26,61.9 ,6.2 ,9.0 ,5/12/15 04:37,38.6 ,5/12/15 03:48,0.0 ,0.0 ,6.86 ,11.8 ,-3.6 
13,1008.9 ,1012.3 ,1010.5 ,5/13/15 07:28,1006.8 ,5/13/15 15:52,27.1 ,33.6 ,5/13/15 12:09,21.5 ,5/13/15 03:51,19.5 ,64 ,49 ,5/13/15 11:56,0.8 ,200 ,8.0 ,330 ,5/13/15 13:17,0.0 ,0.0 ,0.0 ,,0.0 ,,8.7 ,65.5 ,25.51 ,17.8 ,2.9 
14,1009.3 ,1012.7 ,1010.7 ,5/14/15 08:38,1007.8 ,5/14/15 01:28,27.8 ,32.4 ,5/14/15 10:59,24.2 ,5/14/15 05:04,23.1 ,76 ,61 ,5/14/15 10:59,1.1 ,150 ,6.6 ,340 ,5/14/15 11:25,0.0 ,0.0 ,0.0 ,,0.0 ,,3.7 ,27.8 ,13.32 ,9.9 ,3.4 
15,1007.7 ,1011.1 ,1010.3 ,5/15/15 08:23,1004.9 ,5/15/15 17:07,28.7 ,34.1 ,5/15/15 12:26,24.6 ,5/15/15 03:51,23.9 ,76 ,58 ,5/15/15 12:25,1.0 ,160 ,6.8 ,10 ,5/15/15 12:56,0.0 ,0.0 ,0.0 ,,0.0 ,,4.1 ,30.8 ,17.19 ,11.9 ,2.5 
16,1006.7 ,1010.1 ,1008.2 ,5/16/15 21:49,1004.6 ,5/16/15 14:51,29.5 ,35.6 ,5/16/15 12:57,25.2 ,5/16/15 05:40,23.2 ,70 ,49 ,5/16/15 12:30,1.5 ,300 ,8.0 ,280 ,5/16/15 12:17,T ,0.5 ,T ,5/16/15 19:40,T ,5/16/15 19:40,7.3 ,54.8 ,22.86 ,17.8 ,-5.0 
17,1005.9 ,1009.4 ,1007.5 ,5/17/15 08:28,1004.2 ,5/17/15 15:54,28.4 ,32.8 ,5/17/15 11:28,25.8 ,5/17/15 04:03,23.2 ,74 ,54 ,5/17/15 10:44,1.0 ,360 ,7.0 ,270 ,5/17/15 10:06,0.0 ,0.0 ,0.0 ,,0.0 ,,3.2 ,24.0 ,15.22 ,14.3 ,4.3 
18,1004.2 ,1007.6 ,1005.7 ,5/18/15 06:43,1002.2 ,5/18/15 16:43,29.9 ,35.4 ,5/18/15 12:22,25.1 ,5/18/15 05:30,22.4 ,66 ,49 ,5/18/15 11:54,1.9 ,260 ,10.9 ,280 ,5/18/15 13:15,0.0 ,0.0 ,0.0 ,,0.0 ,,7.6 ,56.9 ,24.53 ,18.3 ,5.0 
19,1003.3 ,1006.7 ,1004.5 ,5/19/15 00:04,1001.9 ,5/19/15 15:30,30.1 ,34.0 ,5/19/15 10:41,26.3 ,5/19/15 04:40,22.3 ,64 ,46 ,5/19/15 11:15,1.7 ,270 ,10.9 ,280 ,5/19/15 13:34,0.0 ,0.0 ,0.0 ,,0.0 ,,3.6 ,26.9 ,17.05 ,24.0 ,-5.0 
20,1005.8 ,1009.3 ,1010.2 ,5/20/15 22:01,1002.4 ,5/20/15 03:26,24.6 ,28.3 ,5/20/15 00:02,22.3 ,5/20/15 21:14,21.8 ,85 ,71 ,5/20/15 00:01,1.2 ,90 ,9.4 ,70 ,5/20/15 18:19,59.2 ,18.6 ,3.0 ,5/20/15 10:50,10.0 ,5/20/15 10:21,0.0 ,0.0 ,0.01 ,9.4 ,-2.0 
21,1009.9 ,1013.5 ,1012.1 ,5/21/15 10:03,1008.6 ,5/21/15 23:59,22.0 ,23.0 ,5/21/15 13:28,21.2 ,5/21/15 19:40,18.4 ,80 ,72 ,5/21/15 14:33,3.4 ,100 ,12.1 ,110 ,5/21/15 13:37,1.5 ,8.4 ,0.3 ,5/21/15 05:42,0.5 ,5/21/15 05:42,0.0 ,0.0 ,3.55 ,12.3 ,-3.3 
22,1005.9 ,1009.4 ,1008.9 ,5/22/15 00:25,1003.7 ,5/22/15 16:14,24.5 ,28.3 ,5/22/15 10:44,21.5 ,5/22/15 00:01,22.4 ,88 ,78 ,5/22/15 10:43,1.2 ,90 ,7.9 ,60 ,5/22/15 00:06,17.0 ,8.7 ,3.0 ,5/22/15 12:54,8.5 ,5/22/15 12:19,0.6 ,4.5 ,7.85 ,13.3 ,-1.1 
23,1003.6 ,1007.1 ,1005.0 ,5/23/15 00:02,1002.0 ,5/23/15 16:52,24.7 ,25.9 ,5/23/15 13:12,24.0 ,5/23/15 21:17,23.0 ,90 ,85 ,5/23/15 13:31,0.6 ,80 ,4.4 ,280 ,5/23/15 09:08,21.5 ,14.5 ,3.0 ,5/23/15 20:26,6.5 ,5/23/15 20:09,0.0 ,0.0 ,2.24 ,8.3 ,-0.4 
24,1002.8 ,1006.3 ,1004.9 ,5/24/15 22:28,1001.1 ,5/24/15 03:12,24.3 ,26.2 ,5/24/15 12:49,22.8 ,5/24/15 21:49,22.8 ,92 ,85 ,5/24/15 11:54,1.3 ,100 ,8.3 ,280 ,5/24/15 13:49,28.5 ,22.9 ,3.0 ,5/24/15 04:58,9.0 ,5/24/15 04:08,0.0 ,0.0 ,4.02 ,7.0 ,-0.1 
25,1005.2 ,1008.7 ,1008.0 ,5/25/15 22:44,1002.9 ,5/25/15 02:11,23.6 ,24.9 ,5/25/15 12:05,22.7 ,5/25/15 00:14,20.9 ,85 ,77 ,5/25/15 17:50,2.2 ,90 ,8.2 ,90 ,5/25/15 18:09,5.6 ,11.3 ,1.8 ,5/25/15 09:40,4.4 ,5/25/15 09:01,0.0 ,0.0 ,6.18 ,11.3 ,-1.3 
26,1007.2 ,1010.7 ,1008.8 ,5/26/15 09:01,1005.8 ,5/26/15 15:50,23.4 ,24.4 ,5/26/15 09:10,22.6 ,5/26/15 11:55,20.2 ,82 ,76 ,5/26/15 11:54,2.1 ,80 ,8.2 ,60 ,5/26/15 11:49,9.4 ,5.5 ,2.5 ,5/26/15 20:51,7.5 ,5/26/15 20:44,0.0 ,0.0 ,4.99 ,11.0 ,-1.5 
27,1004.0 ,1007.5 ,1006.7 ,5/27/15 00:19,1001.9 ,5/27/15 23:43,26.8 ,31.3 ,5/27/15 14:14,22.8 ,5/27/15 02:47,23.3 ,82 ,68 ,5/27/15 14:56,1.0 ,170 ,10.2 ,250 ,5/27/15 15:47,0.1 ,0.2 ,0.1 ,5/27/15 16:20,0.1 ,5/27/15 16:20,0.6 ,4.4 ,11.34 ,13.0 ,-5.7 
28,1001.0 ,1004.4 ,1003.1 ,5/28/15 22:27,998.3 ,5/28/15 16:03,30.0 ,35.5 ,5/28/15 12:32,25.1 ,5/28/15 04:40,23.6 ,70 ,51 ,5/28/15 15:06,2.0 ,270 ,14.0 ,260 ,5/28/15 12:03,0.0 ,0.0 ,0.0 ,,0.0 ,,3.8 ,28.1 ,18.40 ,20.1 ,1.4 
29,1002.3 ,1005.7 ,1003.9 ,5/29/15 23:29,1000.6 ,5/29/15 16:55,30.9 ,35.7 ,5/29/15 14:21,27.2 ,5/29/15 04:23,24.6 ,70 ,57 ,5/29/15 15:35,1.5 ,200 ,10.2 ,280 ,5/29/15 12:51,0.0 ,0.0 ,0.0 ,,0.0 ,,7.1 ,52.5 ,21.21 ,16.0 ,3.5 
30,1002.5 ,1006.0 ,1005.0 ,5/30/15 22:04,1000.2 ,5/30/15 16:46,31.0 ,36.5 ,5/30/15 13:45,26.6 ,5/30/15 04:46,24.5 ,69 ,52 ,5/30/15 13:11,2.2 ,270 ,12.0 ,280 ,5/30/15 14:19,0.0 ,0.0 ,0.0 ,,0.0 ,,7.8 ,57.7 ,23.70 ,16.6 ,-5.1 
31,1004.7 ,1008.1 ,1006.7 ,5/31/15 22:08,1003.2 ,5/31/15 02:36,28.2 ,30.9 ,5/31/15 12:27,26.4 ,5/31/15 10:29,24.6 ,81 ,74 ,5/31/15 14:27,0.8 ,330 ,7.2 ,310 ,5/31/15 10:22,7.0 ,4.8 ,5.0 ,5/31/15 10:20,5.0 ,5/31/15 10:20,0.3 ,2.2 ,10.50 ,12.1 ,-3.5 
