ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA
1,1000.4 ,1003.8 ,1002.2 ,9/1/16 00:06,998.2 ,9/1/16 16:47,29.6 ,35.3 ,9/1/16 14:07,25.1 ,9/1/16 05:47,20.0 ,57 ,44 ,9/1/16 18:09,1.5 ,160 ,8.1 ,40 ,9/1/16 15:43,0.0 ,0.0 ,0.0 ,,0.0 ,,8.8 ,70.0 ,20.23 ,14.0 ,5.5 
2,999.7 ,1003.1 ,1000.7 ,9/2/16 06:22,998.3 ,9/2/16 14:53,28.5 ,34.3 ,9/2/16 12:08,26.0 ,9/2/16 18:19,22.2 ,70 ,50 ,9/2/16 10:29,1.6 ,50 ,8.4 ,50 ,9/2/16 15:39,11.5 ,3.4 ,3.0 ,9/2/16 17:02,8.7 ,9/2/16 17:01,3.6 ,28.7 ,12.99 ,10.8 ,-0.8 
3,1001.0 ,1004.5 ,1002.6 ,9/3/16 09:27,999.4 ,9/3/16 03:01,27.9 ,31.8 ,9/3/16 13:49,26.1 ,9/3/16 04:09,24.4 ,82 ,67 ,9/3/16 15:11,2.2 ,50 ,9.4 ,50 ,9/3/16 22:39,1.7 ,3.7 ,0.2 ,9/3/16 05:10,0.8 ,9/3/16 07:10,0.8 ,6.4 ,10.59 ,15.0 ,-3.6 
4,1002.2 ,1005.6 ,1003.6 ,9/4/16 20:34,1000.5 ,9/4/16 14:43,29.7 ,34.4 ,9/4/16 13:09,27.1 ,9/4/16 05:58,24.6 ,75 ,52 ,9/4/16 12:52,3.3 ,50 ,12.6 ,60 ,9/4/16 14:37,0.5 ,0.3 ,0.5 ,9/4/16 05:47,0.5 ,9/4/16 05:47,6.8 ,54.4 ,20.29 ,15.8 ,-5.0 
5,1003.1 ,1006.5 ,1004.4 ,9/5/16 20:41,1001.1 ,9/5/16 02:21,28.8 ,31.5 ,9/5/16 15:12,27.5 ,9/5/16 01:30,24.8 ,79 ,73 ,9/5/16 16:26,3.2 ,60 ,11.6 ,70 ,9/5/16 15:55,1.2 ,3.0 ,0.4 ,9/5/16 11:35,1.0 ,9/5/16 11:35,1.0 ,8.0 ,9.24 ,17.0 ,-0.8 
6,1004.1 ,1007.6 ,1005.7 ,9/6/16 08:41,1002.9 ,9/6/16 15:37,28.0 ,30.3 ,9/6/16 15:59,25.4 ,9/6/16 23:51,23.8 ,78 ,72 ,9/6/16 15:49,1.2 ,60 ,7.0 ,50 ,9/6/16 19:17,5.0 ,3.3 ,1.0 ,9/6/16 22:27,3.0 ,9/6/16 22:16,0.1 ,0.8 ,5.60 ,10.8 ,-1.8 
7,1003.3 ,1006.8 ,1004.8 ,9/7/16 00:04,1001.6 ,9/7/16 14:16,29.4 ,34.7 ,9/7/16 12:52,25.3 ,9/7/16 02:48,23.7 ,73 ,51 ,9/7/16 15:47,1.2 ,220 ,9.2 ,270 ,9/7/16 14:30,1.9 ,1.5 ,0.5 ,9/7/16 00:30,1.6 ,9/7/16 00:01,4.1 ,33.0 ,15.85 ,22.0 ,3.5 
8,1004.3 ,1007.8 ,1006.3 ,9/8/16 21:15,1002.8 ,9/8/16 04:09,29.4 ,34.2 ,9/8/16 13:44,26.9 ,9/8/16 20:12,23.3 ,70 ,53 ,9/8/16 13:43,1.2 ,270 ,7.9 ,270 ,9/8/16 15:33,0.3 ,1.2 ,0.3 ,9/8/16 19:40,0.3 ,9/8/16 19:36,0.4 ,3.2 ,12.09 ,16.8 ,-2.4 
9,1005.6 ,1009.1 ,1006.8 ,9/9/16 20:22,1004.1 ,9/9/16 14:54,27.2 ,30.6 ,9/9/16 11:46,25.3 ,9/9/16 18:51,24.0 ,83 ,70 ,9/9/16 11:08,1.5 ,50 ,7.5 ,340 ,9/9/16 13:44,50.5 ,5.8 ,7.0 ,9/9/16 13:51,18.5 ,9/9/16 16:20,0.0 ,0.0 ,5.40 ,12.3 ,X 
10,1005.1 ,1008.6 ,1006.4 ,9/10/16 21:13,1003.6 ,9/10/16 14:22,26.5 ,32.3 ,9/10/16 11:38,24.8 ,9/10/16 03:57,24.0 ,87 ,67 ,9/10/16 11:37,1.1 ,100 ,8.5 ,320 ,9/10/16 13:15,35.0 ,7.1 ,15.5 ,9/10/16 15:17,23.0 ,9/10/16 15:15,0.6 ,4.9 ,7.03 ,14.2 ,-0.7 
