ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA
1,998.9 ,1002.3 ,1000.6 ,7/1/15 00:01,997.0 ,7/1/15 15:33,32.2 ,36.0 ,7/1/15 10:39,28.1 ,7/1/15 06:15,24.6 ,65 ,53 ,7/1/15 10:42,2.7 ,260 ,13.2 ,280 ,7/1/15 13:06,0.0 ,0.0 ,0.0 ,,0.0 ,,7.2 ,52.8 ,23.57 ,29.8 ,5.9 
2,999.5 ,1002.9 ,1001.9 ,7/2/15 22:25,997.8 ,7/2/15 14:23,32.1 ,37.5 ,7/2/15 15:02,28.2 ,7/2/15 06:55,25.1 ,67 ,50 ,7/2/15 13:21,1.7 ,280 ,7.7 ,310 ,7/2/15 14:37,0.0 ,0.0 ,0.0 ,,0.0 ,,5.7 ,41.8 ,22.34 ,23.1 ,5.6 
3,1000.5 ,1003.9 ,1002.2 ,7/3/15 21:52,998.8 ,7/3/15 16:01,30.9 ,34.3 ,7/3/15 10:24,28.5 ,7/3/15 05:04,25.1 ,72 ,59 ,7/3/15 11:24,1.1 ,170 ,6.8 ,280 ,7/3/15 14:42,0.0 ,0.0 ,0.0 ,,0.0 ,,0.7 ,5.1 ,11.36 ,16.3 ,2.1 
4,1000.6 ,1004.1 ,1002.4 ,7/4/15 21:25,999.3 ,7/4/15 15:59,29.9 ,34.7 ,7/4/15 13:23,27.4 ,7/4/15 19:19,25.2 ,76 ,65 ,7/4/15 13:22,1.6 ,320 ,9.5 ,330 ,7/4/15 13:40,1.3 ,1.6 ,0.5 ,7/4/15 19:02,1.0 ,7/4/15 18:44,5.6 ,41.1 ,20.77 ,11.9 ,-3.9 
5,998.4 ,1001.8 ,1001.2 ,7/5/15 00:03,995.9 ,7/5/15 16:22,31.3 ,35.2 ,7/5/15 11:42,27.6 ,7/5/15 00:02,24.9 ,70 ,57 ,7/5/15 11:42,4.0 ,80 ,14.6 ,80 ,7/5/15 14:27,0.0 ,0.0 ,0.0 ,,0.0 ,,9.4 ,69.1 ,27.81 ,23.5 ,7.2 
6,995.6 ,999.0 ,997.8 ,7/6/15 00:04,993.4 ,7/6/15 15:32,31.9 ,36.5 ,7/6/15 15:06,30.0 ,7/6/15 23:50,24.7 ,66 ,55 ,7/6/15 13:12,2.9 ,100 ,13.4 ,110 ,7/6/15 10:22,0.0 ,0.0 ,0.0 ,,0.0 ,,6.8 ,50.0 ,24.83 ,22.5 ,6.4 
7,995.5 ,998.9 ,996.8 ,7/7/15 07:13,993.9 ,7/7/15 16:13,31.6 ,36.0 ,7/7/15 11:33,28.3 ,7/7/15 05:23,24.4 ,66 ,54 ,7/7/15 23:18,2.4 ,110 ,13.1 ,100 ,7/7/15 17:34,0.0 ,0.0 ,0.0 ,,0.0 ,,7.5 ,55.2 ,24.21 ,18.4 ,6.7 
8,995.8 ,999.2 ,998.8 ,7/8/15 21:47,994.0 ,7/8/15 02:16,31.8 ,34.8 ,7/8/15 13:15,30.1 ,7/8/15 20:56,23.5 ,62 ,54 ,7/8/15 10:29,5.0 ,100 ,17.2 ,100 ,7/8/15 16:30,0.0 ,0.0 ,0.0 ,,0.0 ,,6.3 ,46.4 ,23.16 ,33.9 ,-6.6 
9,997.2 ,1000.6 ,999.3 ,7/9/15 07:32,994.8 ,7/9/15 23:59,29.3 ,33.4 ,7/9/15 14:27,26.5 ,7/9/15 07:43,25.0 ,78 ,67 ,7/9/15 00:01,3.0 ,70 ,12.7 ,60 ,7/9/15 11:32,22.2 ,6.9 ,6.0 ,7/9/15 07:20,10.2 ,7/9/15 07:12,3.7 ,27.3 ,18.37 ,12.9 ,-2.2 
10,991.0 ,994.4 ,994.9 ,7/10/15 00:01,987.7 ,7/10/15 23:50,26.4 ,28.4 ,7/10/15 23:59,25.3 ,7/10/15 20:44,23.8 ,86 ,74 ,7/10/15 23:57,3.8 ,310 ,19.0 ,350 ,7/10/15 13:42,91.0 ,23.3 ,6.0 ,7/10/15 04:51,16.5 ,7/10/15 04:48,0.0 ,0.0 ,3.48 ,4.4 ,-3.2 
11,990.5 ,993.9 ,994.6 ,7/11/15 23:44,986.9 ,7/11/15 02:08,31.0 ,32.8 ,7/11/15 10:51,28.1 ,7/11/15 00:04,23.9 ,66 ,62 ,7/11/15 16:50,4.3 ,280 ,17.6 ,220 ,7/11/15 02:16,0.0 ,0.0 ,0.0 ,,0.0 ,,0.3 ,2.2 ,11.17 ,22.5 ,4.0 
12,996.8 ,1000.2 ,1000.3 ,7/12/15 21:43,993.9 ,7/12/15 01:08,30.2 ,35.7 ,7/12/15 14:31,26.9 ,7/12/15 05:12,24.7 ,73 ,57 ,7/12/15 14:10,1.5 ,270 ,7.8 ,260 ,7/12/15 12:40,14.6 ,0.9 ,4.5 ,7/12/15 17:56,13.0 ,7/12/15 17:54,4.9 ,36.2 ,19.81 ,20.8 ,-4.5 
13,999.5 ,1002.9 ,1000.8 ,7/13/15 07:48,997.9 ,7/13/15 17:18,30.6 ,34.8 ,7/13/15 13:51,27.1 ,7/13/15 04:34,24.8 ,72 ,58 ,7/13/15 14:59,1.5 ,340 ,10.1 ,10 ,7/13/15 13:13,0.0 ,0.0 ,0.0 ,,0.0 ,,7.7 ,56.9 ,23.78 ,11.6 ,5.6 
14,999.6 ,1003.0 ,1001.0 ,7/14/15 07:55,997.9 ,7/14/15 17:21,30.1 ,35.1 ,7/14/15 12:55,26.7 ,7/14/15 06:12,23.2 ,67 ,54 ,7/14/15 12:54,1.5 ,90 ,9.8 ,70 ,7/14/15 16:26,0.0 ,0.0 ,0.0 ,,0.0 ,,6.8 ,50.3 ,22.65 ,10.4 ,4.4 
15,999.0 ,1002.5 ,1000.6 ,7/15/15 00:29,997.6 ,7/15/15 16:04,29.8 ,34.6 ,7/15/15 14:49,26.3 ,7/15/15 04:17,23.6 ,70 ,55 ,7/15/15 14:36,1.4 ,80 ,7.1 ,90 ,7/15/15 16:48,0.0 ,0.0 ,0.0 ,,0.0 ,,6.8 ,50.3 ,22.00 ,11.9 ,5.3 
16,997.2 ,1000.7 ,998.7 ,7/16/15 00:01,995.2 ,7/16/15 16:19,30.2 ,34.8 ,7/16/15 12:14,26.4 ,7/16/15 05:15,23.6 ,68 ,56 ,7/16/15 15:42,1.5 ,80 ,7.6 ,70 ,7/16/15 18:02,0.0 ,0.0 ,0.0 ,,0.0 ,,6.1 ,45.2 ,17.35 ,10.1 ,4.4 
17,998.7 ,1002.1 ,1000.1 ,7/17/15 23:37,997.3 ,7/17/15 02:21,30.2 ,33.6 ,7/17/15 13:01,27.3 ,7/17/15 05:08,24.2 ,71 ,65 ,7/17/15 14:04,1.9 ,80 ,10.1 ,50 ,7/17/15 14:19,0.0 ,0.0 ,0.0 ,,0.0 ,,5.7 ,42.3 ,19.07 ,10.0 ,5.1 
18,999.5 ,1002.9 ,1000.7 ,7/18/15 08:31,998.1 ,7/18/15 15:08,30.7 ,35.0 ,7/18/15 12:08,27.1 ,7/18/15 05:59,23.8 ,67 ,56 ,7/18/15 11:22,2.1 ,80 ,8.9 ,150 ,7/18/15 15:58,0.0 ,0.0 ,0.0 ,,0.0 ,,6.7 ,49.7 ,19.39 ,13.9 ,3.1 
19,1001.2 ,1004.6 ,1004.0 ,7/19/15 23:14,999.4 ,7/19/15 02:58,28.8 ,34.5 ,7/19/15 10:54,25.6 ,7/19/15 23:59,24.6 ,78 ,63 ,7/19/15 10:54,1.0 ,170 ,7.4 ,310 ,7/19/15 12:45,53.0 ,7.9 ,11.0 ,7/19/15 16:54,30.5 ,7/19/15 16:22,2.7 ,20.1 ,10.30 ,11.5 ,-4.5 
20,1004.6 ,1008.1 ,1006.3 ,7/20/15 21:12,1002.7 ,7/20/15 02:26,28.6 ,31.6 ,7/20/15 11:28,25.6 ,7/20/15 00:01,24.5 ,79 ,69 ,7/20/15 20:03,1.5 ,90 ,6.9 ,80 ,7/20/15 11:13,3.9 ,1.3 ,3.5 ,7/20/15 15:29,3.8 ,7/20/15 14:39,1.4 ,10.4 ,14.62 ,24.0 ,-2.2 
21,1005.4 ,1008.8 ,1006.4 ,7/21/15 07:32,1004.4 ,7/21/15 16:12,30.6 ,36.6 ,7/21/15 12:29,26.8 ,7/21/15 04:19,24.1 ,69 ,47 ,7/21/15 14:01,1.5 ,80 ,10.2 ,80 ,7/21/15 15:53,0.0 ,0.0 ,0.0 ,,0.0 ,,5.0 ,37.2 ,21.66 ,24.3 ,5.2 
