ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA
1,1000.9 ,1004.3 ,1003.9 ,6/1/16 00:01,997.2 ,6/1/16 16:25,33.0 ,38.7 ,6/1/16 14:46,28.8 ,6/1/16 04:35,22.8 ,56 ,37 ,6/1/16 16:21,2.5 ,270 ,14.1 ,260 ,6/1/16 14:12,0.0 ,0.0 ,0.0 ,,0.0 ,,8.6 ,63.5 ,26.96 ,37.0 ,6.6 
2,1001.9 ,1005.4 ,1004.2 ,6/2/16 21:58,999.4 ,6/2/16 05:23,27.8 ,31.0 ,6/2/16 00:13,25.9 ,6/2/16 11:23,23.0 ,76 ,57 ,6/2/16 00:13,1.8 ,60 ,8.6 ,50 ,6/2/16 18:39,36.0 ,7.5 ,7.5 ,6/2/16 13:53,15.0 ,6/2/16 10:47,0.0 ,0.0 ,0.92 ,12.6 ,-0.1 
3,1002.0 ,1005.4 ,1003.7 ,6/3/16 00:01,999.9 ,6/3/16 16:05,30.3 ,35.7 ,6/3/16 13:44,25.9 ,6/3/16 01:18,24.7 ,73 ,57 ,6/3/16 13:44,1.4 ,270 ,9.9 ,260 ,6/3/16 13:39,8.5 ,2.8 ,7.0 ,6/3/16 01:02,8.5 ,6/3/16 00:21,4.7 ,34.6 ,18.25 ,17.8 ,4.6 
4,1002.8 ,1006.3 ,1005.4 ,6/4/16 23:25,1001.2 ,6/4/16 15:34,32.1 ,37.1 ,6/4/16 12:59,27.6 ,6/4/16 05:27,23.7 ,62 ,47 ,6/4/16 13:05,2.1 ,280 ,11.7 ,270 ,6/4/16 13:49,0.0 ,0.0 ,0.0 ,,0.0 ,,8.7 ,64.1 ,25.06 ,27.0 ,5.7 
5,1005.6 ,1009.1 ,1007.5 ,6/5/16 19:56,1003.7 ,6/5/16 02:10,28.1 ,33.8 ,6/5/16 10:18,24.6 ,6/5/16 17:01,23.0 ,74 ,58 ,6/5/16 10:13,1.5 ,130 ,9.2 ,70 ,6/5/16 14:28,12.0 ,6.1 ,2.5 ,6/5/16 16:49,6.5 ,6/5/16 16:17,1.1 ,8.1 ,11.40 ,10.2 ,-4.7 
6,1005.9 ,1009.4 ,1007.1 ,6/6/16 21:56,1004.9 ,6/6/16 16:39,26.4 ,30.6 ,6/6/16 09:39,24.7 ,6/6/16 03:20,23.0 ,82 ,70 ,6/6/16 08:31,0.9 ,190 ,5.6 ,210 ,6/6/16 17:38,34.3 ,8.1 ,8.5 ,6/6/16 10:12,15.5 ,6/6/16 17:25,0.4 ,2.9 ,7.90 ,12.4 ,-2.4 
7,1005.3 ,1008.7 ,1007.0 ,6/7/16 07:46,1003.3 ,6/7/16 16:23,27.9 ,34.1 ,6/7/16 12:22,24.6 ,6/7/16 06:19,22.8 ,74 ,60 ,6/7/16 12:17,1.5 ,150 ,7.5 ,60 ,6/7/16 14:36,3.8 ,1.0 ,2.5 ,6/7/16 05:54,3.8 ,6/7/16 05:45,3.5 ,25.7 ,16.97 ,18.8 ,3.1 
8,1003.7 ,1007.1 ,1005.1 ,6/8/16 08:20,1001.1 ,6/8/16 16:52,28.7 ,34.5 ,6/8/16 12:56,24.9 ,6/8/16 05:01,21.7 ,66 ,53 ,6/8/16 11:52,1.7 ,130 ,10.1 ,50 ,6/8/16 14:12,0.0 ,0.0 ,0.0 ,,0.0 ,,5.2 ,38.2 ,20.70 ,20.8 ,3.6 
9,1003.8 ,1007.3 ,1005.0 ,6/9/16 21:52,1002.2 ,6/9/16 13:51,28.5 ,35.1 ,6/9/16 11:59,25.7 ,6/9/16 15:21,22.7 ,71 ,56 ,6/9/16 10:24,1.6 ,70 ,9.2 ,50 ,6/9/16 13:29,30.3 ,3.0 ,6.5 ,6/9/16 14:56,26.5 ,6/9/16 14:13,4.8 ,35.3 ,16.39 ,16.2 ,-4.2 
10,1004.5 ,1008.0 ,1005.8 ,6/10/16 07:47,1003.7 ,6/10/16 15:41,27.4 ,31.5 ,6/10/16 10:39,25.7 ,6/10/16 05:00,22.9 ,76 ,67 ,6/10/16 10:28,1.2 ,190 ,8.8 ,350 ,6/10/16 12:38,3.2 ,5.6 ,1.6 ,6/10/16 12:38,2.6 ,6/10/16 12:09,0.0 ,0.0 ,7.95 ,22.6 ,-1.2 
11,1003.5 ,1006.9 ,1004.4 ,6/11/16 22:48,1002.2 ,6/11/16 15:22,27.4 ,29.5 ,6/11/16 09:40,25.7 ,6/11/16 02:38,23.4 ,79 ,70 ,6/11/16 17:43,0.9 ,150 ,8.4 ,250 ,6/11/16 16:56,5.5 ,4.3 ,2.0 ,6/11/16 11:39,4.5 ,6/11/16 11:07,0.1 ,0.7 ,8.14 ,21.4 ,-0.3 
12,1001.5 ,1004.9 ,1004.0 ,6/12/16 00:01,999.3 ,6/12/16 23:27,28.6 ,32.8 ,6/12/16 10:48,26.1 ,6/12/16 05:05,23.2 ,73 ,58 ,6/12/16 10:46,1.1 ,230 ,11.2 ,260 ,6/12/16 18:29,0.3 ,0.5 ,0.3 ,6/12/16 18:38,0.3 ,6/12/16 18:35,0.3 ,2.2 ,9.69 ,26.6 ,-0.5 
13,1000.2 ,1003.6 ,1002.2 ,6/13/16 07:46,998.4 ,6/13/16 14:05,28.5 ,35.0 ,6/13/16 14:08,24.7 ,6/13/16 06:21,23.0 ,73 ,50 ,6/13/16 14:30,2.0 ,250 ,14.5 ,270 ,6/13/16 14:47,36.6 ,9.0 ,3.5 ,6/13/16 06:05,11.0 ,6/13/16 05:12,1.7 ,12.5 ,10.99 ,30.2 ,-3.4 
14,1001.4 ,1004.9 ,1003.4 ,6/14/16 11:06,998.8 ,6/14/16 02:58,25.7 ,28.3 ,6/14/16 00:01,24.5 ,6/14/16 13:04,22.9 ,85 ,71 ,6/14/16 00:01,1.0 ,140 ,8.1 ,310 ,6/14/16 04:23,44.7 ,14.0 ,3.5 ,6/14/16 12:36,12.0 ,6/14/16 11:58,0.0 ,0.0 ,0.20 ,12.8 ,-0.4 
15,1001.2 ,1004.6 ,1002.7 ,6/15/16 08:07,999.8 ,6/15/16 15:58,30.4 ,36.1 ,6/15/16 11:26,24.1 ,6/15/16 02:31,24.3 ,71 ,52 ,6/15/16 14:42,1.4 ,260 ,11.4 ,270 ,6/15/16 15:18,0.0 ,0.0 ,0.0 ,,0.0 ,,7.8 ,57.2 ,26.39 ,21.2 ,5.6 
16,1001.9 ,1005.3 ,1004.5 ,6/16/16 22:46,1000.1 ,6/16/16 00:41,32.0 ,37.4 ,6/16/16 10:57,27.3 ,6/16/16 06:01,24.1 ,64 ,48 ,6/16/16 10:49,2.4 ,260 ,13.9 ,260 ,6/16/16 13:33,0.0 ,0.0 ,0.0 ,,0.0 ,,8.1 ,59.4 ,26.15 ,39.0 ,6.3 
17,1006.1 ,1009.5 ,1009.5 ,6/17/16 21:36,1003.4 ,6/17/16 01:31,29.2 ,36.8 ,6/17/16 12:02,24.6 ,6/17/16 17:46,24.3 ,76 ,51 ,6/17/16 11:35,1.5 ,170 ,11.6 ,80 ,6/17/16 15:59,82.5 ,7.3 ,12.0 ,6/17/16 16:14,31.5 ,6/17/16 16:41,4.6 ,33.7 ,16.04 ,13.9 ,X 
