ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA
1,1014.2 ,1017.8 ,1016.4 ,12/1/15 10:12,1012.4 ,12/1/15 15:06,21.8 ,24.8 ,12/1/15 13:31,20.6 ,12/1/15 02:43,18.8 ,83 ,76 ,12/1/15 12:16,3.1 ,60 ,9.6 ,60 ,12/1/15 11:09,0.0 ,0.0 ,0.0 ,,0.0 ,,2.6 ,24.5 ,10.62 ,17.3 ,1.2 
2,1013.0 ,1016.5 ,1015.5 ,12/2/15 23:18,1010.9 ,12/2/15 14:07,22.0 ,25.1 ,12/2/15 11:43,19.0 ,12/2/15 05:00,18.6 ,81 ,75 ,12/2/15 14:03,1.4 ,300 ,7.9 ,310 ,12/2/15 13:05,0.0 ,0.0 ,0.0 ,,0.0 ,,1.1 ,10.4 ,7.90 ,17.9 ,2.1 
3,1019.0 ,1022.6 ,1021.2 ,12/3/15 21:27,1015.4 ,12/3/15 00:01,18.2 ,21.1 ,12/3/15 00:01,16.6 ,12/3/15 07:58,12.8 ,71 ,63 ,12/3/15 10:26,3.9 ,60 ,11.9 ,50 ,12/3/15 06:45,0.0 ,0.0 ,0.0 ,,0.0 ,,0.0 ,0.0 ,2.87 ,10.5 ,-2.0 
4,1021.1 ,1024.8 ,1023.3 ,12/4/15 09:26,1019.5 ,12/4/15 23:59,17.2 ,18.2 ,12/4/15 00:32,16.1 ,12/4/15 09:45,11.7 ,70 ,62 ,12/4/15 00:50,4.5 ,70 ,14.1 ,90 ,12/4/15 19:51,0.2 ,3.5 ,0.1 ,12/4/15 05:05,0.2 ,12/4/15 05:01,0.0 ,0.0 ,1.73 ,16.9 ,-1.9 
5,1015.0 ,1018.6 ,1019.5 ,12/5/15 00:01,1010.8 ,12/5/15 15:01,21.7 ,26.5 ,12/5/15 14:22,16.6 ,12/5/15 00:02,17.4 ,77 ,67 ,12/5/15 12:40,3.8 ,70 ,13.2 ,60 ,12/5/15 02:09,T ,0.8 ,T ,12/5/15 23:13,T ,12/5/15 23:13,7.2 ,68.0 ,14.74 ,23.0 ,-1.8 
6,1018.4 ,1022.0 ,1021.1 ,12/6/15 22:07,1015.6 ,12/6/15 03:00,17.9 ,20.3 ,12/6/15 00:01,17.1 ,12/6/15 23:33,16.1 ,89 ,84 ,12/6/15 00:01,1.7 ,60 ,9.9 ,70 ,12/6/15 20:23,11.7 ,17.1 ,1.5 ,12/6/15 05:09,3.0 ,12/6/15 08:50,0.0 ,0.0 ,0.86 ,12.6 ,-0.3 
7,1020.4 ,1024.0 ,1021.9 ,12/7/15 09:07,1019.0 ,12/7/15 03:00,18.5 ,20.0 ,12/7/15 23:31,17.0 ,12/7/15 00:14,14.6 ,78 ,66 ,12/7/15 15:05,3.5 ,60 ,14.4 ,60 ,12/7/15 14:22,0.0 ,0.0 ,0.0 ,,0.0 ,,0.0 ,0.0 ,4.01 ,13.8 ,-2.1 
8,1020.4 ,1024.0 ,1022.6 ,12/8/15 09:33,1018.9 ,12/8/15 15:06,19.3 ,20.5 ,12/8/15 23:56,18.3 ,12/8/15 06:27,16.3 ,83 ,78 ,12/8/15 00:02,4.8 ,60 ,14.5 ,60 ,12/8/15 17:51,T ,3.7 ,T ,12/8/15 07:10,T ,12/8/15 07:10,0.1 ,0.9 ,5.73 ,12.3 ,-1.0 
9,1013.1 ,1016.7 ,1019.3 ,12/9/15 00:01,1009.5 ,12/9/15 16:00,21.9 ,24.4 ,12/9/15 12:53,20.5 ,12/9/15 00:01,18.4 ,81 ,72 ,12/9/15 07:47,3.6 ,60 ,12.8 ,70 ,12/9/15 12:29,9.4 ,8.0 ,1.0 ,12/9/15 18:28,3.5 ,12/9/15 17:56,0.1 ,0.9 ,4.70 ,16.0 ,-0.9 
10,1010.4 ,1014.0 ,1012.8 ,12/10/15 21:29,1007.4 ,12/10/15 03:28,20.4 ,23.9 ,12/10/15 14:27,18.1 ,12/10/15 07:16,17.7 ,85 ,71 ,12/10/15 14:26,1.3 ,260 ,10.3 ,310 ,12/10/15 05:21,28.5 ,11.1 ,5.0 ,12/10/15 04:12,15.5 ,12/10/15 03:57,0.4 ,3.8 ,6.20 ,16.5 ,-1.3 
11,1014.2 ,1017.8 ,1016.2 ,12/11/15 22:04,1012.4 ,12/11/15 00:06,18.9 ,20.1 ,12/11/15 12:02,17.9 ,12/11/15 19:24,15.2 ,79 ,74 ,12/11/15 11:48,2.9 ,60 ,10.0 ,20 ,12/11/15 09:55,T ,3.8 ,T ,12/11/15 17:18,T ,12/11/15 17:18,0.0 ,0.0 ,3.36 ,12.8 ,-1.1 
12,1015.0 ,1018.6 ,1016.9 ,12/12/15 09:08,1013.1 ,12/12/15 14:39,18.2 ,20.5 ,12/12/15 13:46,16.6 ,12/12/15 04:57,15.9 ,86 ,81 ,12/12/15 12:47,3.1 ,60 ,14.1 ,50 ,12/12/15 11:16,2.8 ,8.9 ,0.5 ,12/12/15 04:03,1.0 ,12/12/15 04:07,1.5 ,14.2 ,8.74 ,9.0 ,-1.4 
13,1012.9 ,1016.4 ,1014.6 ,12/13/15 00:02,1011.4 ,12/13/15 13:36,21.3 ,25.3 ,12/13/15 13:39,18.6 ,12/13/15 00:26,18.4 ,83 ,76 ,12/13/15 12:45,4.0 ,60 ,10.8 ,70 ,12/13/15 12:11,0.0 ,0.0 ,0.0 ,,0.0 ,,8.9 ,84.4 ,15.17 ,14.4 ,2.6 
14,1012.8 ,1016.4 ,1014.8 ,12/14/15 21:11,1011.0 ,12/14/15 14:53,21.1 ,23.8 ,12/14/15 13:08,18.6 ,12/14/15 23:24,18.6 ,85 ,79 ,12/14/15 13:06,3.2 ,60 ,11.2 ,60 ,12/14/15 19:45,T ,1.3 ,T ,12/14/15 18:00,T ,12/14/15 17:55,1.4 ,13.3 ,9.62 ,14.4 ,-2.0 
15,1015.9 ,1019.5 ,1018.6 ,12/15/15 22:18,1013.8 ,12/15/15 02:30,17.4 ,18.7 ,12/15/15 00:01,16.2 ,12/15/15 18:03,14.1 ,81 ,71 ,12/15/15 21:56,3.6 ,60 ,11.2 ,60 ,12/15/15 17:46,T ,1.0 ,T ,12/15/15 17:30,T ,12/15/15 17:20,0.0 ,0.0 ,2.60 ,5.8 ,-1.9 
16,1020.4 ,1024.1 ,1023.3 ,12/16/15 22:37,1018.2 ,12/16/15 00:01,14.9 ,16.6 ,12/16/15 01:13,13.2 ,12/16/15 22:30,8.2 ,65 ,56 ,12/16/15 22:38,2.7 ,30 ,10.1 ,60 ,12/16/15 21:13,0.0 ,0.0 ,0.0 ,,0.0 ,,0.0 ,0.0 ,0.00 ,6.1 ,2.0 
17,1024.6 ,1028.3 ,1026.3 ,12/17/15 09:16,1022.4 ,12/17/15 02:15,12.4 ,14.6 ,12/17/15 10:59,11.3 ,12/17/15 16:29,5.1 ,61 ,53 ,12/17/15 10:59,2.9 ,20 ,11.8 ,20 ,12/17/15 09:30,0.0 ,0.0 ,0.0 ,,0.0 ,,0.9 ,8.5 ,5.94 ,12.0 ,1.6 
18,1023.3 ,1027.0 ,1024.4 ,12/18/15 00:01,1022.0 ,12/18/15 15:29,16.0 ,17.9 ,12/18/15 11:49,12.6 ,12/18/15 00:07,9.8 ,67 ,59 ,12/18/15 08:37,2.5 ,70 ,12.1 ,40 ,12/18/15 19:23,0.0 ,0.0 ,0.0 ,,0.0 ,,0.0 ,0.0 ,3.71 ,20.6 ,1.9 
19,1021.4 ,1025.0 ,1023.4 ,12/19/15 00:01,1019.5 ,12/19/15 14:48,18.4 ,21.5 ,12/19/15 12:01,16.6 ,12/19/15 00:42,15.0 ,80 ,70 ,12/19/15 00:01,4.2 ,60 ,15.0 ,50 ,12/19/15 12:07,T ,7.6 ,T ,12/19/15 12:15,T ,12/19/15 12:05,1.8 ,17.1 ,9.92 ,18.3 ,-1.1 
20,1017.8 ,1021.4 ,1020.1 ,12/20/15 00:01,1014.5 ,12/20/15 14:43,21.4 ,25.0 ,12/20/15 11:25,18.9 ,12/20/15 07:05,16.3 ,73 ,63 ,12/20/15 10:58,2.1 ,50 ,8.9 ,70 ,12/20/15 02:36,0.0 ,0.0 ,0.0 ,,0.0 ,,0.7 ,6.6 ,8.22 ,27.4 ,-1.5 
21,1018.3 ,1021.9 ,1020.1 ,12/21/15 09:42,1016.9 ,12/21/15 15:34,20.8 ,22.8 ,12/21/15 13:45,19.0 ,12/21/15 06:42,18.0 ,84 ,77 ,12/21/15 14:46,2.6 ,50 ,11.4 ,60 ,12/21/15 15:55,0.1 ,4.1 ,0.1 ,12/21/15 06:41,0.1 ,12/21/15 06:41,0.0 ,0.0 ,4.35 ,9.8 ,-0.3 
22,1015.9 ,1019.4 ,1018.2 ,12/22/15 08:55,1012.6 ,12/22/15 14:50,23.9 ,30.5 ,12/22/15 14:01,18.8 ,12/22/15 05:21,19.6 ,78 ,56 ,12/22/15 14:01,1.6 ,130 ,7.0 ,50 ,12/22/15 00:02,0.0 ,0.0 ,0.0 ,,0.0 ,,8.1 ,76.9 ,15.11 ,19.5 ,2.3 
23,1014.8 ,1018.4 ,1017.2 ,12/23/15 09:33,1012.8 ,12/23/15 15:33,22.9 ,27.8 ,12/23/15 11:50,20.3 ,12/23/15 06:41,19.2 ,80 ,65 ,12/23/15 12:54,1.6 ,60 ,8.1 ,60 ,12/23/15 17:26,0.0 ,0.0 ,0.0 ,,0.0 ,,3.0 ,28.5 ,10.03 ,13.6 ,-2.0 
24,1013.2 ,1016.8 ,1014.8 ,12/24/15 09:08,1011.9 ,12/24/15 14:12,21.9 ,26.5 ,12/24/15 11:52,19.9 ,12/24/15 20:46,19.3 ,85 ,73 ,12/24/15 12:01,1.0 ,310 ,7.9 ,310 ,12/24/15 12:45,0.1 ,4.6 ,0.1 ,12/24/15 20:15,0.1 ,12/24/15 19:50,0.7 ,6.6 ,4.79 ,9.3 ,-0.4 
25,1017.2 ,1020.8 ,1019.4 ,12/25/15 21:35,1013.6 ,12/25/15 00:05,17.6 ,20.6 ,12/25/15 00:01,16.3 ,12/25/15 23:55,15.2 ,86 ,80 ,12/25/15 22:37,2.5 ,60 ,8.3 ,60 ,12/25/15 17:00,5.9 ,13.3 ,0.8 ,12/25/15 05:12,1.8 ,12/25/15 04:45,0.0 ,0.0 ,2.80 ,13.5 ,-0.7 
26,1017.4 ,1021.0 ,1018.8 ,12/26/15 00:01,1015.6 ,12/26/15 14:26,17.7 ,18.8 ,12/26/15 11:17,16.0 ,12/26/15 00:40,14.0 ,79 ,74 ,12/26/15 08:35,2.9 ,60 ,9.6 ,60 ,12/26/15 12:51,T ,1.0 ,T ,12/26/15 19:40,T ,12/26/15 19:34,0.0 ,0.0 ,3.83 ,7.5 ,-1.2 
27,1019.8 ,1023.5 ,1023.8 ,12/27/15 21:40,1016.7 ,12/27/15 01:44,17.2 ,19.1 ,12/27/15 10:47,15.2 ,12/27/15 21:42,15.2 ,88 ,83 ,12/27/15 00:01,1.7 ,60 ,9.3 ,30 ,12/27/15 19:32,12.5 ,12.2 ,1.8 ,12/27/15 07:49,4.5 ,12/27/15 07:15,0.0 ,0.0 ,1.98 ,6.0 ,-0.3 
28,1024.9 ,1028.6 ,1026.5 ,12/28/15 10:24,1023.3 ,12/28/15 00:41,16.0 ,17.0 ,12/28/15 09:13,15.0 ,12/28/15 01:07,12.1 ,78 ,66 ,12/28/15 21:52,3.0 ,60 ,12.4 ,50 ,12/28/15 19:07,3.0 ,3.7 ,1.2 ,12/28/15 00:32,2.0 ,12/28/15 00:06,0.0 ,0.0 ,0.62 ,10.6 ,-0.9 
29,1023.2 ,1026.9 ,1025.9 ,12/29/15 08:56,1021.1 ,12/29/15 15:32,17.5 ,19.9 ,12/29/15 12:11,16.2 ,12/29/15 05:39,11.9 ,70 ,62 ,12/29/15 12:06,3.7 ,70 ,13.1 ,60 ,12/29/15 13:55,0.0 ,0.0 ,0.0 ,,0.0 ,,0.8 ,7.6 ,8.04 ,16.4 ,-2.1 
30,1022.0 ,1025.7 ,1024.0 ,12/30/15 09:39,1019.9 ,12/30/15 13:56,16.1 ,16.8 ,12/30/15 00:01,15.5 ,12/30/15 12:16,13.8 ,86 ,81 ,12/30/15 08:48,3.0 ,60 ,10.9 ,40 ,12/30/15 14:05,1.5 ,8.4 ,0.4 ,12/30/15 09:22,0.9 ,12/30/15 11:18,0.0 ,0.0 ,2.45 ,14.6 ,-0.2 
31,1024.5 ,1028.2 ,1026.2 ,12/31/15 20:07,1022.4 ,12/31/15 04:27,16.4 ,17.4 ,12/31/15 23:13,15.2 ,12/31/15 04:57,11.9 ,75 ,67 ,12/31/15 12:06,3.6 ,70 ,12.8 ,40 ,12/31/15 10:27,T ,0.5 ,T ,12/31/15 06:50,T ,12/31/15 06:50,0.0 ,0.0 ,2.32 ,10.1 ,1.9 
