ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA
1,1010.2,1013.7,1012.3,5/1/16 09:04,1008.1,5/1/16 01:05,23.7,27.6,5/1/16 13:52,21.0,5/1/16 05:31,20.1,80,66,5/1/16 14:04,0.9,120,4.7,320,5/1/16 01:45,3.0,11.3,0.5,5/1/16 04:55,1.0,5/1/16 04:29,0.1,0.8,9.37,6.4,-1.2
2,1007.7,1011.1,1010.3,5/2/16 07:56,1005.0,5/2/16 16:33,27.8,34.0,5/2/16 12:26,22.2,5/2/16 03:26,20.5,66,49,5/2/16 11:54,1.0,130,6.0,320,5/2/16 13:29,0.0,0.0,0.0,,0.0,,6.3,48.2,19.60,15.0,-3.1
3,1007.3,1010.8,1010.6,5/3/16 21:36,1004.5,5/3/16 02:46,27.6,34.2,5/3/16 12:17,24.7,5/3/16 04:15,20.5,66,52,5/3/16 12:14,2.6,50,12.3,190,5/3/16 07:05,2.5,0.6,1.5,5/3/16 06:42,1.5,5/3/16 06:42,3.7,28.3,16.77,15.6,3.8
4,1009.5,1013.0,1010.6,5/4/16 07:37,1008.1,5/4/16 15:51,28.3,33.9,5/4/16 12:07,24.7,5/4/16 02:41,20.8,64,53,5/4/16 12:07,1.5,60,7.1,310,5/4/16 14:03,0.0,0.0,0.0,,0.0,,1.7,13.0,14.93,11.2,3.6
5,1008.7,1012.2,1010.4,5/5/16 09:24,1007.2,5/5/16 16:58,27.1,33.6,5/5/16 11:46,24.3,5/5/16 18:29,21.2,70,59,5/5/16 11:35,1.2,130,7.6,80,5/5/16 14:32,19.5,4.8,10.5,5/5/16 17:20,16.0,5/5/16 16:40,1.6,12.2,11.03,11.0,-1.8
6,1007.2,1010.6,1008.6,5/6/16 06:28,1004.7,5/6/16 14:59,29.3,36.1,5/6/16 14:14,23.7,5/6/16 05:06,23.1,70,54,5/6/16 15:16,1.3,280,9.7,340,5/6/16 15:35,0.0,0.0,0.0,,0.0,,9.3,70.8,24.95,20.0,4.9
7,1008.8,1012.2,1010.6,5/7/16 22:13,1007.6,5/7/16 04:27,29.5,34.6,5/7/16 10:04,26.3,5/7/16 04:51,23.2,70,59,5/7/16 09:51,1.6,160,8.7,300,5/7/16 11:14,0.0,0.0,0.0,,0.0,,6.8,51.7,20.32,13.4,4.0
8,1009.9,1013.4,1011.3,5/8/16 21:57,1008.5,5/8/16 02:57,27.5,33.7,5/8/16 11:25,25.3,5/8/16 05:14,22.2,73,61,5/8/16 12:04,1.5,160,10.1,50,5/8/16 15:21,20.2,2.7,8.0,5/8/16 14:11,19.5,5/8/16 13:58,2.5,19.0,12.84,10.4,-3.5
9,1007.9,1011.4,1010.1,5/9/16 00:01,1005.6,5/9/16 23:59,27.6,33.3,5/9/16 12:28,25.2,5/9/16 15:29,22.0,72,64,5/9/16 10:30,1.3,150,10.0,140,5/9/16 14:32,1.0,0.5,0.5,5/9/16 14:35,1.0,5/9/16 14:11,1.3,9.8,11.53,15.0,-1.3
10,1004.4,1007.9,1006.3,5/10/16 23:42,1002.0,5/10/16 16:02,27.7,32.3,5/10/16 10:51,23.6,5/10/16 23:57,21.8,71,57,5/10/16 11:40,1.4,270,9.9,270,5/10/16 16:39,11.3,8.5,1.2,5/10/16 19:31,4.9,5/10/16 19:21,0.3,2.3,8.03,12.0,-3.8
11,1007.9,1011.4,1009.7,5/11/16 09:13,1006.0,5/11/16 01:42,21.9,25.0,5/11/16 13:11,19.9,5/11/16 04:15,16.2,71,61,5/11/16 14:05,3.9,50,11.5,60,5/11/16 01:08,27.2,7.1,5.5,5/11/16 03:40,8.0,5/11/16 00:34,0.4,3.0,10.55,13.2,1.8
12,1007.3,1010.7,1008.8,5/12/16 22:10,1005.7,5/12/16 15:50,26.9,31.5,5/12/16 13:28,22.2,5/12/16 00:11,19.7,65,56,5/12/16 13:27,2.2,60,9.7,20,5/12/16 00:27,0.0,0.0,0.0,,0.0,,2.2,16.6,14.85,25.0,3.5
