ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA
1,999.1 ,1002.5 ,1001.1 ,8/1/16 23:14,997.1 ,8/1/16 13:21,31.6 ,35.6 ,8/1/16 10:15,27.2 ,8/1/16 02:27,23.1 ,61 ,49 ,8/1/16 10:07,4.5 ,100 ,19.6 ,90 ,8/1/16 10:22,0.5 ,2.7 ,0.5 ,8/1/16 02:18,0.5 ,8/1/16 01:28,5.0 ,37.7 ,20.65 ,23.6 ,-5.6 
2,1002.7 ,1006.1 ,1005.7 ,8/2/16 23:27,1001.0 ,8/2/16 00:01,30.7 ,37.3 ,8/2/16 13:02,28.1 ,8/2/16 22:42,23.8 ,67 ,50 ,8/2/16 13:38,1.4 ,200 ,7.8 ,310 ,8/2/16 13:24,0.1 ,2.4 ,0.1 ,8/2/16 15:05,0.1 ,8/2/16 15:05,4.6 ,34.8 ,16.23 ,20.2 ,-4.1 
3,1005.2 ,1008.6 ,1006.9 ,8/3/16 21:55,1003.9 ,8/3/16 02:15,30.4 ,36.6 ,8/3/16 11:52,27.0 ,8/3/16 04:23,23.7 ,68 ,49 ,8/3/16 11:51,1.4 ,150 ,7.7 ,320 ,8/3/16 13:18,0.0 ,0.0 ,0.0 ,,0.0 ,,5.9 ,44.7 ,18.83 ,25.0 ,3.8 
4,1005.2 ,1008.6 ,1006.3 ,8/4/16 00:01,1003.2 ,8/4/16 15:30,31.9 ,37.8 ,8/4/16 13:10,27.3 ,8/4/16 05:43,23.4 ,62 ,46 ,8/4/16 15:22,1.2 ,160 ,9.6 ,310 ,8/4/16 16:16,0.0 ,0.0 ,0.0 ,,0.0 ,,10.9 ,82.6 ,26.42 ,35.0 ,5.7 
5,1003.5 ,1007.0 ,1005.9 ,8/5/16 00:01,1001.4 ,8/5/16 17:33,31.4 ,37.2 ,8/5/16 12:22,27.9 ,8/5/16 05:37,24.1 ,66 ,47 ,8/5/16 12:59,1.5 ,300 ,8.4 ,310 ,8/5/16 14:33,0.0 ,0.0 ,0.0 ,,0.0 ,,4.9 ,37.2 ,19.42 ,21.0 ,5.1 
6,1000.2 ,1003.6 ,1002.8 ,8/6/16 00:01,998.1 ,8/6/16 15:58,30.6 ,36.0 ,8/6/16 11:41,28.5 ,8/6/16 23:59,24.3 ,69 ,56 ,8/6/16 11:06,1.8 ,50 ,9.2 ,320 ,8/6/16 11:15,0.8 ,0.2 ,0.8 ,8/6/16 14:09,0.8 ,8/6/16 14:05,4.8 ,36.5 ,18.00 ,17.6 ,-3.3 
7,998.4 ,1001.8 ,1000.0 ,8/7/16 23:21,996.5 ,8/7/16 15:11,29.7 ,34.2 ,8/7/16 14:10,26.8 ,8/7/16 10:30,23.8 ,71 ,57 ,8/7/16 16:00,1.6 ,50 ,10.0 ,50 ,8/7/16 16:52,15.0 ,1.8 ,13.0 ,8/7/16 10:22,14.0 ,8/7/16 09:33,6.4 ,48.7 ,17.60 ,24.0 ,-4.5 
8,998.7 ,1002.1 ,999.8 ,8/8/16 07:01,996.8 ,8/8/16 16:33,30.7 ,35.9 ,8/8/16 13:02,26.9 ,8/8/16 04:04,23.8 ,68 ,53 ,8/8/16 13:00,1.4 ,310 ,8.4 ,310 ,8/8/16 11:14,0.0 ,0.0 ,0.0 ,,0.0 ,,8.1 ,61.8 ,24.35 ,16.0 ,3.6 
9,997.8 ,1001.2 ,999.1 ,8/9/16 21:42,996.4 ,8/9/16 15:55,30.5 ,36.2 ,8/9/16 10:56,28.4 ,8/9/16 16:21,25.0 ,73 ,55 ,8/9/16 11:35,1.5 ,50 ,7.1 ,40 ,8/9/16 13:47,11.5 ,1.2 ,9.0 ,8/9/16 16:11,11.2 ,8/9/16 15:35,3.6 ,27.5 ,17.31 ,20.0 ,-4.3 
10,999.1 ,1002.5 ,1000.3 ,8/10/16 07:47,997.4 ,8/10/16 15:11,30.4 ,36.1 ,8/10/16 12:04,27.1 ,8/10/16 20:41,24.8 ,73 ,53 ,8/10/16 11:53,2.6 ,50 ,13.9 ,40 ,8/10/16 16:42,9.0 ,4.9 ,2.0 ,8/10/16 19:05,4.5 ,8/10/16 18:40,8.1 ,62.0 ,23.96 ,16.0 ,-4.7 
11,998.5 ,1001.9 ,1000.5 ,8/11/16 23:28,996.6 ,8/11/16 04:51,28.3 ,31.1 ,8/11/16 15:00,26.1 ,8/11/16 07:02,25.0 ,82 ,68 ,8/11/16 17:24,1.3 ,70 ,7.1 ,70 ,8/11/16 17:15,25.9 ,11.3 ,8.5 ,8/11/16 05:17,16.5 ,8/11/16 05:05,0.1 ,0.8 ,8.45 ,16.6 ,-0.6 
12,999.2 ,1002.6 ,1000.3 ,8/12/16 00:01,997.3 ,8/12/16 15:29,30.3 ,34.8 ,8/12/16 12:34,27.4 ,8/12/16 04:22,24.0 ,69 ,56 ,8/12/16 12:33,2.5 ,80 ,11.2 ,130 ,8/12/16 14:48,T ,0.2 ,T ,8/12/16 07:18,T ,8/12/16 07:18,4.2 ,32.2 ,19.78 ,27.0 ,-4.0 
13,998.9 ,1002.4 ,999.7 ,8/13/16 10:25,997.9 ,8/13/16 13:29,28.7 ,31.7 ,8/13/16 14:10,26.2 ,8/13/16 03:00,23.6 ,75 ,64 ,8/13/16 15:16,2.0 ,60 ,8.3 ,60 ,8/13/16 17:18,6.0 ,6.0 ,1.0 ,8/13/16 02:07,2.5 ,8/13/16 01:49,0.0 ,0.0 ,9.13 ,25.6 ,-3.2 
14,998.1 ,1001.5 ,999.6 ,8/14/16 21:48,996.6 ,8/14/16 14:33,31.0 ,35.9 ,8/14/16 12:02,26.9 ,8/14/16 05:30,22.3 ,61 ,46 ,8/14/16 12:06,2.8 ,110 ,12.2 ,80 ,8/14/16 10:08,0.0 ,0.0 ,0.0 ,,0.0 ,,10.0 ,77.0 ,27.04 ,21.0 ,6.5 
15,997.6 ,1001.0 ,999.1 ,8/15/16 00:01,996.4 ,8/15/16 15:42,31.4 ,35.9 ,8/15/16 11:53,28.3 ,8/15/16 05:46,22.7 ,60 ,49 ,8/15/16 11:51,2.9 ,60 ,10.1 ,100 ,8/15/16 10:28,0.0 ,0.0 ,0.0 ,,0.0 ,,10.2 ,78.7 ,25.28 ,22.0 ,6.3 
16,997.8 ,1001.2 ,999.9 ,8/16/16 21:34,996.5 ,8/16/16 04:05,30.5 ,36.3 ,8/16/16 12:13,27.7 ,8/16/16 05:32,23.7 ,67 ,57 ,8/16/16 12:09,1.5 ,300 ,9.0 ,320 ,8/16/16 14:04,0.0 ,0.0 ,0.0 ,,0.0 ,,5.4 ,41.7 ,16.08 ,17.6 ,2.3 
